,away,home,time,weather
0,CLE 4.3,@BOS 5.2,11:10am,67°         3%
1,MIN 4.3,@BAL 4.7,6:35pm,68°         3%
2,TEX 4.1,@DET 4.4,6:40pm,52°
3,COL 3.3,@PHI 5.2,6:40pm,67°         3%
4,SF 4.4,@MIA 4.1,6:40pm,72°          1%
5,LAA 3.8,@TB 4.7,6:50pm,
6,NYY 4.1,@TOR 4.4,7:07pm,71°
7,PIT 4.1,@NYM 4.4,7:10pm,62°         20%
8,KC 4.5,@CHW 3.5,7:40pm,52°         4%
9,SD 4.1,@MIL 4.4,7:40pm,48°
10,ATL 5.1,@HOU 4.9,8:10pm,71°          2%
11,CHC 4.1,@ARI 4.9,9:40pm,66°
12,STL 4.2,@OAK 3.3,9:40pm,52°
13,CIN 3.2,@SEA 3.8,9:42pm,46°          40%
14,WAS 2.9,@LAD 5.6,10:10pm,58°
