,away,home,time,weather
0,TEX 4.1,@DET 3.9,1:10pm,64°         49%
1,MIN 3.8,@BAL 4.7,6:35pm,62°         2%
2,COL 3.4,@PHI 5.1,6:40pm,61°         1%
3,SF 4.5,@MIA 4.0,6:40pm,74°          2%
4,LAA 3.9,@TB 4.6,6:50pm,
5,NYY 4.1,@TOR 4.4,7:07pm,72°
6,CLE 3.9,@BOS 4.1,7:10pm,46°
7,PIT 3.7,@NYM 3.8,7:10pm,60°
8,SD 4.4,@MIL 4.1,7:40pm,53°          86%
9,ATL 4.7,@HOU 4.8,8:10pm,74°          4%
10,CHC 4.9,@ARI 5.1,9:40pm,74°
11,CIN 3.1,@SEA 3.4,9:40pm,47°          1%
12,STL 4.3,@OAK 3.7,9:40pm,59°
13,WAS 3.6,@LAD 5.9,10:10pm,61°
