,away,home,time,weather
0,TEX 4.4,@OAK 4.1,3:37pm,69°
1,DET 4.0,@CLE 4.5,6:10pm,70°         80%
2,ARI 4.7,@CIN 4.3,6:40pm,70°         78%
3,LAA 3.5,@PIT 4.0,6:40pm,68°         78%
4,TOR 3.9,@PHI 4.1,6:40pm,66°         60%
5,BAL 5.0,@WAS 3.5,6:45pm,70°         30%
6,CHW 3.1,@TB 4.9,6:50pm,
7,HOU 4.1,@NYY 4.4,7:05pm,66°         28%
8,BOS 3.6,@ATL 4.9,7:20pm,75°         26%
9,SD 4.0,@CHC 5.0,7:40pm,58°         20%
10,SEA 3.5,@MIN 4.5,7:40pm,59°         3%
11,MIL 4.2,@KC 4.8,7:40pm,63°         5%
12,NYM 4.1,@STL 4.4,7:45pm,70°
13,SF 5.5,@COL 4.5,8:40pm,46°         1%
14,MIA 2.7,@LAD 4.8,10:10pm,60°
