,away,home,time,weather
0,LAA 4.2,@PIT 4.8,12:35pm,78°
1,TOR 3.8,@PHI 4.7,1:05pm,82°
2,DET 3.6,@CLE 3.9,1:10pm,77°         3%
3,MIL 4.1,@KC 4.4,2:10pm,74°         8%
4,SD 4.0,@CHC 3.5,2:20pm,66°         23%
5,MIA 3.5,@LAD 5.5,3:10pm,72°
6,TEX 3.9,@OAKG1 3.6,3:37pm,75°
7,ARI 4.4,@CIN 4.6,6:40pm,69°         62%
8,TEX 4.6,@OAKG2 3.9,6:42pm,69°
9,BAL 4.5,@WAS 3.5,6:45pm,74°         30%
10,CHW 3.3,@TB 5.2,6:50pm,
11,HOU 4.2,@NYY 5.3,7:05pm,72°         5%
12,BOS 3.8,@ATL 5.2,7:20pm,75°         46%
13,SEA 3.7,@MIN 3.8,7:40pm,62°         13%
14,SF 5.0,@COL 4.0,8:40pm,50°         14%
