,away,home,time,weather
0,CHW 3.4,@CLE 5.1,5:10pm,59°
1,MIA 3.6,@NYY 4.4,6:05pm,56°         23%
2,DET 3.8,@PIT 4.2,6:40pm,60°         1%
3,MIL 4.7,@CIN 4.8,6:40pm,61°         23%
4,SEA 3.9,@TOR 4.1,7:07pm,71°
5,NYM 4.1,@ATL 5.9,7:20pm,63°         41%
6,LAD 4.5,@MIN 4.0,7:40pm,45°         95%
7,PHI 4.1,@STL 4.4,7:45pm,62°         7%
8,HOU 4.8,@TEX 5.2,8:05pm,68°         89%
9,ARI 5.9,@COL 4.6,8:40pm,46°         1%
10,TB 4.6,@LAA 3.9,9:38pm,61°
11,CHC 3.5,@SD 4.0,9:40pm,60°
12,WAS 3.1,@SF 4.4,9:45pm,59°         1%
