,away,home,time,weather
0,ARI 3.6,@BAL 3.9,1:35pm,62°         22%
1,WAS 3.5,@BOS 4.0,1:35pm,53°         18%
2,CHC 4.6,@PIT 4.4,1:35pm,62°         1%
3,MIN 4.1,@TOR 3.9,1:37pm,81°         4%
4,HOU 3.7,@DET 3.8,1:40pm,67°         4%
5,PHI 4.1,@MIA 2.9,1:40pm,84°          14%
6,NYY 4.6,@TB 3.9,1:40pm,
7,CLE 5.0,@CHW 4.0,2:10pm,80°         10%
8,STL 4.1,@MIL 4.9,2:10pm,78°          29%
9,TEX 5.6,@COL 4.9,3:10pm,64°         37%
10,CIN 3.4,@SF 3.6,4:05pm,69°
11,KC 3.9,@LAA 4.1,4:07pm,73°
12,LAD 3.7,@SD 3.8,4:10pm,67°
13,OAK 2.9,@SEA 4.1,4:10pm,74°          9%
14,ATL 3.9,@NYM 4.1,7:10pm,50°         2%
