,away,home,time,weather
0,HOU 4.6,@DET 3.9,6:40pm,57°         14%
1,CHC 3.3,@PIT 3.7,6:40pm,49°         3%
2,NYY 4.2,@TB 3.8,6:50pm,
3,ARI 3.5,@BAL 4.0,7:05pm,50°         30%
4,MIN 3.7,@TOR 3.8,7:07pm,80°         28%
5,WAS 3.3,@BOS 4.7,7:10pm,43°         8%
6,ATL 4.3,@NYM 3.7,7:10pm,50°         33%
7,PHI 4.3,@MIA 3.2,7:10pm,79°          2%
8,CLE 3.4,@CHW 3.6,7:40pm,58°         65%
9,STL 4.1,@MIL 4.4,8:10pm,56°          79%
10,TEX 5.5,@COL 4.0,8:40pm,48°         7%
11,KC 4.4,@LAA 4.1,9:38pm,59°         1%
12,LAD 4.2,@SD 3.3,9:40pm,61°         1%
13,OAK 3.4,@SEA 4.1,9:40pm,63°
14,CIN 3.2,@SF 3.8,10:15pm,62°
