,away,home,time,weather
0,MIN 3.5,@TOR 4.0,3:07pm,79°         1%
1,ARI 3.9,@BAL 4.6,4:05pm,59°         91%
2,CHC 3.6,@PIT 3.4,4:05pm,52°         32%
3,WAS 3.8,@BOS 4.7,4:10pm,47°
4,ATL 3.8,@NYM 3.2,4:10pm,54°         23%
5,PHI 4.2,@MIA 3.8,4:10pm,84°          10%
6,NYY 3.9,@TB 4.1,4:10pm,
7,HOU 3.4,@DET 4.1,6:10pm,52°         8%
8,CLE 4.5,@CHW 3.5,7:10pm,55°         2%
9,CIN 4.1,@SF 3.4,7:15pm,70°
10,STL 3.2,@MIL 4.3,7:15pm,52°          3%
11,TEX 5.1,@COL 4.4,8:10pm,52°         41%
12,LAD 5.1,@SD 4.4,8:40pm,62°
13,KC 4.5,@LAA 3.5,9:38pm,64°         1%
14,OAK 3.3,@SEA 4.7,9:40pm,68°
