,away,home,time,weather
0,PHI 4.1,@NYM 3.9,1:10pm,66°         45%
1,WAS 4.1,@CHWG1 3.9,4:40pm,52°         25%
2,MIA 3.5,@DET 4.5,6:40pm,56°         17%
3,TB 4.6,@BOS 4.9,7:10pm,58°         5%
4,CHC 3.4,@ATL 4.6,7:20pm,66°         51%
5,NYY 4.1,@MIN 4.4,7:40pm,61°         1%
6,PIT 3.6,@MIL 4.4,7:40pm,47°          3%
7,WAS 3.7,@CHWG2 3.8,7:40pm,52°         18%
8,CLE 4.6,@TEX 4.9,8:05pm,75°
9,OAK 3.7,@HOU 4.8,8:10pm,77°
10,STL 3.7,@LAA 3.3,9:38pm,63°         13%
11,CIN 4.1,@ARI 4.4,9:40pm,88°
12,COL 2.7,@SD 4.3,9:40pm,61°         13%
13,KC 3.3,@SEA 4.2,9:40pm,64°          3%
14,LAD 4.8,@SF 3.7,9:45pm,65°
