,away,home,time,weather
0,TOR 3.3,@BAL 4.2,6:35pm,62°         3%
1,MIA 4.0,@DET 5.0,6:40pm,69°         26%
2,TB 4.1,@BOS 4.4,7:10pm,53°         15%
3,PHI 3.4,@NYM 3.6,7:10pm,58°         10%
4,CHC 3.5,@ATL 4.0,7:20pm,62°         61%
5,PIT 4.0,@MIL 4.5,7:40pm,51°          23%
6,CLE 4.4,@TEX 4.6,8:05pm,68°         2%
7,OAK 3.7,@HOU 4.8,8:10pm,72°          2%
8,STL 4.4,@LAA 4.1,9:38pm,59°
9,CIN 3.8,@ARI 4.7,9:40pm,83°
10,COL 3.3,@SD 4.7,9:40pm,60°
11,KC 3.2,@SEA 3.8,9:40pm,56°          2%
12,LAD 4.7,@SF 3.3,9:45pm,53°
