,away,home,time,weather
0,LAA 3.4,@BAL 4.6,3:05pm,49°         8%
1,WAS 4.3,@CIN 5.2,4:10pm,53°         2%
2,SF 3.7,@SD 3.8,4:10pm,61°         1%
3,STL 3.4,@LAD 5.1,4:10pm,61°         1%
4,TOR 3.5,@TB 4.0,4:10pm,
5,MIN 4.5,@KC 4.0,4:10pm,58°         2%
6,DET 4.1,@CHW 3.4,4:10pm,45°         7%
7,PIT 3.6,@MIA 3.9,4:10pm,72°
8,NYY 4.1,@HOU 4.9,4:10pm,64°          1%
9,CHC 4.1,@TEX 4.4,7:35pm,63°
10,CLE 4.0,@OAK 3.5,10:10pm,50°         6%
11,COL 3.5,@ARI 5.0,10:10pm,71°          1%
12,BOS 3.4,@SEA 4.1,10:10pm,47°          72%
