,away,home,time,weather
0,LAD 4.0,@TOR 3.5,3:07pm,78°         2%
1,OAK 3.4,@BAL 4.6,4:05pm,56°         9%
2,STL 4.0,@NYM 3.5,4:05pm,52°         62%
3,CIN 4.1,@TEX 4.4,4:05pm,76°         98%
4,CHC 4.1,@BOS 4.4,4:10pm,52°         54%
5,WAS 3.5,@MIA 4.0,4:10pm,76°          15%
6,HOU 9.8,@COL 6.7,6:05pm,38°         79%
7,KC 3.9,@DET 4.1,6:10pm,67°         37%
8,TB 4.9,@CHW 3.6,7:10pm,67°         68%
9,NYY 4.4,@MIL 4.1,7:10pm,67°          61%
10,CLE 3.8,@ATL 4.7,7:20pm,66°         1%
11,PHI 3.7,@SD 3.8,8:40pm,61°
12,PIT 3.4,@SF 4.1,9:05pm,59°         3%
13,MIN 4.4,@LAA 4.6,9:38pm,62°
14,ARI 3.2,@SEA 3.8,9:40pm,50°          58%
