,away,home,time,weather
0,LAA 4.0,@BAL 4.5,1:35pm,65°         23%
1,ATL 4.3,@PHI 3.7,1:35pm,60°         7%
2,WAS 4.2,@CIN 5.3,1:40pm,62°         72%
3,TOR 4.1,@TB 3.9,1:40pm,
4,PIT 3.9,@MIA 4.6,1:40pm,76°
5,MIL 3.7,@NYM 4.3,1:40pm,59°         2%
6,MIN 4.6,@KC 4.4,2:10pm,76°         13%
7,DET 4.3,@CHW 3.7,2:10pm,42°         88%
8,NYY 4.7,@HOU 4.8,2:10pm,78°          1%
9,CHC 4.3,@TEX 4.7,2:35pm,79°         2%
10,CLE 4.4,@OAK 4.1,4:07pm,61°         20%
11,COL 3.8,@ARI 5.2,4:10pm,60°          50%
12,BOS 3.9,@SEA 4.1,4:10pm,57°          4%
13,SF 3.8,@SD 4.7,4:10pm,61°         70%
14,STL 3.8,@LAD 4.7,7:10pm,56°         69%
