,away,home,time,weather
0,OAK 3.6,@BAL 4.9,1:35pm,80°         6%
1,CLE 4.1,@ATL 4.9,1:35pm,75°
2,LAD 3.9,@TOR 4.1,1:37pm,79°         1%
3,KC 3.3,@DET 4.2,1:40pm,75°         19%
4,STL 3.8,@NYM 4.2,1:40pm,70°         49%
5,WAS 4.0,@MIA 4.5,1:40pm,77°          16%
6,TB 4.3,@CHW 3.7,2:10pm,70°         38%
7,NYY 4.5,@MIL 4.0,2:10pm,47°          78%
8,CIN 4.3,@TEX 4.7,2:35pm,77°         18%
9,HOU 9.7,@COL 6.3,4:05pm,55°         27%
10,PIT 3.4,@SF 3.6,4:05pm,71°
11,MIN 3.7,@LAA 3.8,4:07pm,68°
12,ARI 3.0,@SEA 3.5,4:10pm,52°          69%
13,PHI 3.7,@SD 4.3,4:10pm,68°
14,CHC 4.4,@BOS 5.1,7:10pm,59°         42%
