,away,home,time,weather
0,MIA 4.2,@CHC 5.3,2:20pm,55°
1,LAA 4.4,@CIN 5.1,6:40pm,49°         2%
2,BOS 4.1,@PIT 4.4,6:40pm,49°         3%
3,CHW 3.3,@PHI 4.2,6:40pm,52°         60%
4,HOU 4.4,@WAS 3.6,6:45pm,56°         49%
5,TB 3.7,@NYY 4.8,7:05pm,50°         70%
6,OAK 3.5,@CLE 4.5,7:10pm,51°         9%
7,TEX 4.0,@ATL 5.5,7:20pm,70°         16%
8,BAL 4.7,@KC 4.3,7:40pm,50°         7%
9,DET 3.2,@MIN 3.8,8:10pm,36°         6%
10,MIL 3.6,@STL 3.4,8:15pm,49°         2%
11,TOR 3.9,@SD 4.1,9:40pm,59°         1%
12,NYM 3.6,@LAD 4.9,10:10pm,56°         1%
13,ARI 3.6,@SF 3.9,10:15pm,53°         1%
