,away,home,time,weather
0,MIL 3.6,@NYM 3.9,1:40pm,56°         80%
1,DET 4.5,@CHW 4.0,2:10pm,44°
2,LAA 3.7,@BAL 4.8,4:05pm,54°         61%
3,ATL 4.2,@PHI 3.8,4:05pm,55°         54%
4,CLE 3.7,@OAK 3.3,4:07pm,57°         21%
5,WAS 4.5,@CIN 6.0,4:10pm,68°         12%
6,TOR 4.0,@TB 4.5,4:10pm,
7,MIN 4.1,@KC 3.9,4:10pm,64°         2%
8,PIT 4.1,@MIA 4.4,4:10pm,73°
9,CHC 4.6,@TEX 4.9,7:05pm,73°         1%
10,SF 3.6,@SD 3.9,7:15pm,54°         69%
11,NYY 4.3,@HOU 4.7,7:15pm,71°
12,COL 4.1,@ARI 5.4,8:10pm,72°          43%
13,STL 3.4,@LAD 5.1,9:10pm,55°         84%
14,BOS 3.4,@SEA 4.1,9:40pm,51°          2%
