,away,home,time,weather
0,LAA 4.7,@BOS 5.3,1:35pm,55°         62%
1,PIT 3.6,@PHI 4.9,1:35pm,71°         24%
2,MIL 3.5,@BAL 5.0,1:35pm,78°         21%
3,COL 3.3,@TOR 5.2,1:37pm,74°
4,KC 3.9,@NYM 4.1,1:40pm,68°         52%
5,SF 3.9,@TB 4.1,1:40pm,
6,MIN 4.1,@DET 4.4,1:40pm,76°         15%
7,ATL 4.6,@MIA 3.9,1:40pm,77°
8,NYY 4.4,@CLE 4.1,1:40pm,71°         26%
9,TEX 4.1,@HOU 4.4,2:10pm,79°
10,CIN 4.9,@CHW 4.1,2:10pm,65°
11,WAS 3.7,@OAK 4.3,4:07pm,54°         13%
12,CHC 3.5,@SEA 4.0,4:10pm,62°          4%
13,STL 3.9,@ARI 4.6,4:10pm,79°
14,SD 3.8,@LAD 4.7,7:10pm,55°         10%
