,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,CLE,4/15/2024,1,680757,Steven Kwan,1,Y,LF,67 O RF 10-12 3% outdoor
1,CLE,4/15/2024,1,665926,Andres Gimenez,2,Y,2B,67 O RF 10-12 3% outdoor
2,CLE,4/15/2024,1,608070,Jose Ramirez,3,Y,DH,67 O RF 10-12 3% outdoor
3,CLE,4/15/2024,1,647304,Josh Naylor,4,Y,1B,67 O RF 10-12 3% outdoor
4,CLE,4/15/2024,1,666310,Bo Naylor,5,Y,C,67 O RF 10-12 3% outdoor
5,CLE,4/15/2024,1,671289,Tyler Freeman,6,Y,CF,67 O RF 10-12 3% outdoor
6,CLE,4/15/2024,1,664314,Estevan Florial,7,Y,RF,67 O RF 10-12 3% outdoor
7,CLE,4/15/2024,1,672356,Gabriel Arias,8,Y,3B,67 O RF 10-12 3% outdoor
8,CLE,4/15/2024,1,677587,Brayan Rocchio,9,Y,SS,67 O RF 10-12 3% outdoor
9,CLE,4/15/2024,1,675540,Xzavion Curry,SP,Y,,67 O RF 10-12 3% outdoor
10,BOS,4/15/2024,1,680776,Jarren Duran,1,Y,CF,67 O RF 10-12 3% outdoor
11,BOS,4/15/2024,1,646240,Rafael Devers,2,Y,3B,67 O RF 10-12 3% outdoor
12,BOS,4/15/2024,1,641933,Tyler O'Neill,3,Y,LF,67 O RF 10-12 3% outdoor
13,BOS,4/15/2024,1,671213,Triston Casas,4,Y,1B,67 O RF 10-12 3% outdoor
14,BOS,4/15/2024,1,807799,Masataka Yoshida,5,Y,DH,67 O RF 10-12 3% outdoor
15,BOS,4/15/2024,1,677800,Wilyer Abreu,6,Y,RF,67 O RF 10-12 3% outdoor
16,BOS,4/15/2024,1,665839,Enmanuel Valdez,7,Y,2B,67 O RF 10-12 3% outdoor
17,BOS,4/15/2024,1,624512,Reese McGuire,8,Y,C,67 O RF 10-12 3% outdoor
18,BOS,4/15/2024,1,678882,Ceddanne Rafaela,9,Y,SS,67 O RF 10-12 3% outdoor
19,BOS,4/15/2024,1,676710,Kutter Crawford,SP,Y,,67 O RF 10-12 3% outdoor
20,MIN,4/15/2024,1,622534,Manuel Margot,1,Y,RF,68 N LR 6-8 3% outdoor
21,MIN,4/15/2024,1,680777,Ryan Jeffers,2,Y,C,68 N LR 6-8 3% outdoor
22,MIN,4/15/2024,1,621439,Byron Buxton,3,Y,CF,68 N LR 6-8 3% outdoor
23,MIN,4/15/2024,1,571657,Kyle Farmer,4,Y,SS,68 N LR 6-8 3% outdoor
24,MIN,4/15/2024,1,669304,Jose Miranda,5,Y,3B,68 N LR 6-8 3% outdoor
25,MIN,4/15/2024,1,467793,Carlos Santana,6,Y,1B,68 N LR 6-8 3% outdoor
26,MIN,4/15/2024,1,543877,Christian Vazquez,7,Y,DH,68 N LR 6-8 3% outdoor
27,MIN,4/15/2024,1,668885,Austin Martin,8,Y,LF,68 N LR 6-8 3% outdoor
28,MIN,4/15/2024,1,666397,Edouard Julien,9,Y,2B,68 N LR 6-8 3% outdoor
29,MIN,4/15/2024,1,686973,Louie Varland,SP,Y,,68 N LR 6-8 3% outdoor
30,BAL,4/15/2024,1,683002,Gunnar Henderson,1,Y,SS,68 N LR 6-8 3% outdoor
31,BAL,4/15/2024,1,668939,Adley Rutschman,2,Y,C,68 N LR 6-8 3% outdoor
32,BAL,4/15/2024,1,656811,Ryan O'Hearn,3,Y,DH,68 N LR 6-8 3% outdoor
33,BAL,4/15/2024,1,663624,Ryan Mountcastle,4,Y,1B,68 N LR 6-8 3% outdoor
34,BAL,4/15/2024,1,681297,Colton Cowser,5,Y,RF,68 N LR 6-8 3% outdoor
35,BAL,4/15/2024,1,676059,Jordan Westburg,6,Y,3B,68 N LR 6-8 3% outdoor
36,BAL,4/15/2024,1,656775,Cedric Mullins,7,Y,CF,68 N LR 6-8 3% outdoor
37,BAL,4/15/2024,1,669720,Austin Hays,8,Y,LF,68 N LR 6-8 3% outdoor
38,BAL,4/15/2024,1,702616,Jackson Holliday,9,Y,2B,68 N LR 6-8 3% outdoor
39,BAL,4/15/2024,1,608344,Cole Irvin,SP,Y,,68 N LR 6-8 3% outdoor
40,SF,4/15/2024,1,808982,Jung Hoo Lee,1,Y,CF,72 N LR 10-12 1%  retractable
41,SF,4/15/2024,1,664774,LaMonte Wade,2,Y,1B,72 N LR 10-12 1%  retractable
42,SF,4/15/2024,1,624585,Jorge Soler,3,Y,DH,72 N LR 10-12 1%  retractable
43,SF,4/15/2024,1,624424,Michael Conforto,4,Y,LF,72 N LR 10-12 1%  retractable
44,SF,4/15/2024,1,656305,Matt Chapman,5,Y,3B,72 N LR 10-12 1%  retractable
45,SF,4/15/2024,1,642731,Thairo Estrada,6,Y,2B,72 N LR 10-12 1%  retractable
46,SF,4/15/2024,1,573262,Mike Yastrzemski,7,Y,RF,72 N LR 10-12 1%  retractable
47,SF,4/15/2024,1,672275,Patrick Bailey,8,Y,C,72 N LR 10-12 1%  retractable
48,SF,4/15/2024,1,605113,Nick Ahmed,9,Y,SS,72 N LR 10-12 1%  retractable
49,SF,4/15/2024,1,690986,Kyle Harrison,SP,Y,,72 N LR 10-12 1%  retractable
50,MIA,4/15/2024,1,650333,Luis Arraez,1,Y,2B,72 N LR 10-12 1%  retractable
51,MIA,4/15/2024,1,650559,Bryan De La Cruz,2,Y,LF,72 N LR 10-12 1%  retractable
52,MIA,4/15/2024,1,605137,Josh Bell,3,Y,DH,72 N LR 10-12 1%  retractable
53,MIA,4/15/2024,1,641313,Tim Anderson,4,Y,SS,72 N LR 10-12 1%  retractable
54,MIA,4/15/2024,1,665862,Jazz Chisholm,5,Y,CF,72 N LR 10-12 1%  retractable
55,MIA,4/15/2024,1,541645,Avisail Garcia,6,Y,RF,72 N LR 10-12 1%  retractable
56,MIA,4/15/2024,1,656896,Emmanuel Rivera,7,Y,1B,72 N LR 10-12 1%  retractable
57,MIA,4/15/2024,1,663743,Nicholas Fortes,8,Y,C,72 N LR 10-12 1%  retractable
