Game_ID,Game,Time,Lineups Confirmed,Official Pick,Pr(Win),EV,As Of,Kelly Pct.,Units
TOR-BAL-20240515-1,BAL (-135) vs TOR (+118),Game 1 - 12:35am,Y,BAL -135,63.94%,11.30%,5/15/2024 12:20:02,15.26%,3u
MIA-DET-20240515-1,DET (-156) vs MIA (+140),Game 1 - 1:10pm,Y,DET -156,64.22%,5.38%,5/15/2024 12:55:28,8.39%,1.5u
PIT-MIL-20240515-1,MIL (-149) vs PIT (+134),Game 1 - 1:10pm,Y,PIT +134,43.95%,2.83%,5/15/2024 12:55:28,2.11%,0.5u
WAS-CHW-20240515-1,CHW (-163) vs WAS (+146),Game 1 - 2:10pm,Y,WAS +146,42.28%,4.01%,5/15/2024 13:55:14,2.75%,0.5u
CIN-ARI-20240515-1,ARI (-147) vs CIN (+129),Game 1 - 3:40pm,Y,ARI -147,60.59%,1.80%,5/15/2024 15:25:10,2.65%,0.5u
COL-SD-20240515-1,SD (-239) vs COL (+211),Game 1 - 4:10pm,Y,No bet,,,5/15/2024 15:55:40,,
KC-SEA-20240515-1,SEA (-139) vs KC (+125),Game 1 - 4:10pm,Y,SEA -139,59.86%,2.93%,5/15/2024 15:55:40,4.07%,1u
NYM-PHI-20240515-1,PHI (-197) vs NYM (+175),Game 1 - 6:40pm,Y,No bet,,,5/15/2024 18:25:04,,
TB-BOS-20240515-1,BOS (-128) vs TB (+117),Game 1 - 7:10pm,Y,TB +117,48.51%,5.27%,5/15/2024 18:55:45,4.50%,1u
CHC-ATL-20240515-1,ATL (-185) vs CHC (+162),Game 1 - 7:20pm,Y,CHC +162,42.03%,10.13%,5/15/2024 19:05:20,6.25%,1.5u
NYY-MIN-20240515-1,MIN (-136) vs NYY (+124),Game 1 - 7:40pm,Y,NYY +124,45.55%,2.04%,5/15/2024 19:25:41,1.64%,0.5u
CLE-TEX-20240515-1,TEX (-180) vs CLE (+160),Game 1 - 8:05pm,Y,CLE +160,39.51%,2.72%,5/15/2024 19:50:10,1.70%,0.5u
OAK-HOU-20240515-1,HOU (-250) vs OAK (+206),Game 1 - 8:10pm,Y,No bet,,,5/15/2024 19:55:03,,
STL-LAA-20240515-1,LAA (+104) vs STL (-113),Game 1 - 9:07pm,Y,STL -113,59.51%,11.71%,5/15/2024 20:52:26,13.35%,2.5u
LAD-SF-20240515-1,SF (+120) vs LAD (-132),Game 1 - 9:45pm,Y,No bet,,,5/15/2024 21:30:30,,
