,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,TOR,5/15/2024,1,543807,George Springer,1,Y,RF,63 I CF 8-9 46% outdoor
1,TOR,5/15/2024,1,662139,Daulton Varsho,2,Y,LF,63 I CF 8-9 46% outdoor
2,TOR,5/15/2024,1,665489,Vladimir Guerrero,3,Y,1B,63 I CF 8-9 46% outdoor
3,TOR,5/15/2024,1,666182,Bo Bichette,4,Y,SS,63 I CF 8-9 46% outdoor
4,TOR,5/15/2024,1,643376,Danny Jansen,5,Y,C,63 I CF 8-9 46% outdoor
5,TOR,5/15/2024,1,676914,Davis Schneider,6,Y,2B,63 I CF 8-9 46% outdoor
6,TOR,5/15/2024,1,596129,Daniel Vogelbach,7,Y,DH,63 I CF 8-9 46% outdoor
7,TOR,5/15/2024,1,676391,Ernie Clement,8,Y,3B,63 I CF 8-9 46% outdoor
8,TOR,5/15/2024,1,595281,Kevin Kiermaier,9,Y,CF,63 I CF 8-9 46% outdoor
9,TOR,5/15/2024,1,605135,Chris Bassitt,SP,Y,,63 I CF 8-9 46% outdoor
10,BAL,5/15/2024,1,676059,Jordan Westburg,1,Y,3B,63 I CF 8-9 46% outdoor
11,BAL,5/15/2024,1,668939,Adley Rutschman,2,Y,DH,63 I CF 8-9 46% outdoor
12,BAL,5/15/2024,1,663624,Ryan Mountcastle,3,Y,1B,63 I CF 8-9 46% outdoor
13,BAL,5/15/2024,1,683002,Gunnar Henderson,4,Y,SS,63 I CF 8-9 46% outdoor
14,BAL,5/15/2024,1,623993,Anthony Santander,5,Y,RF,63 I CF 8-9 46% outdoor
15,BAL,5/15/2024,1,622761,Jorge Mateo,6,Y,2B,63 I CF 8-9 46% outdoor
16,BAL,5/15/2024,1,681297,Colton Cowser,7,Y,LF,63 I CF 8-9 46% outdoor
17,BAL,5/15/2024,1,543510,James McCann,8,Y,C,63 I CF 8-9 46% outdoor
18,BAL,5/15/2024,1,656775,Cedric Mullins,9,Y,CF,63 I CF 8-9 46% outdoor
19,BAL,5/15/2024,1,680694,Kyle Bradish,SP,Y,,63 I CF 8-9 46% outdoor
20,PIT,5/15/2024,1,457705,Andrew McCutchen,1,Y,DH,63 N LR 10-10 0%  retractable
21,PIT,5/15/2024,1,668804,Bryan Reynolds,2,Y,LF,63 N LR 10-10 0%  retractable
22,PIT,5/15/2024,1,656582,Connor Joe,3,Y,1B,63 N LR 10-10 0%  retractable
23,PIT,5/15/2024,1,665833,Oneil Cruz,4,Y,SS,63 N LR 10-10 0%  retractable
24,PIT,5/15/2024,1,658668,Edward Olivares,5,Y,RF,63 N LR 10-10 0%  retractable
25,PIT,5/15/2024,1,693304,Nick Gonzales,6,Y,2B,63 N LR 10-10 0%  retractable
26,PIT,5/15/2024,1,669707,Jared Triolo,7,Y,3B,63 N LR 10-10 0%  retractable
