,away,home,time,weather
0,BOS 3.9,@CLE 4.1,6:10pm,51°         100%
1,PHI 4.7,@CIN 4.3,6:40pm,56°         78%
2,MIL 4.1,@PIT 4.4,6:40pm,60°         90%
3,LAD 5.9,@WAS 4.1,6:45pm,59°         46%
4,DET 3.6,@TB 4.4,6:50pm,
5,OAK 3.3,@NYY 4.7,7:05pm,51°         15%
6,MIA 3.3,@ATL 5.2,7:20pm,59°
7,HOU 5.1,@CHC 5.4,7:40pm,47°         12%
8,TOR 4.4,@KC 4.1,7:40pm,54°
9,CHW 2.7,@MIN 4.3,7:40pm,44°         1%
10,ARI 4.0,@STL 4.5,7:45pm,53°
11,SEA 4.6,@TEX 4.4,8:05pm,68°         9%
12,SD 5.2,@COL 4.3,8:40pm,54°         26%
13,BAL 4.6,@LAA 3.9,9:38pm,55°         1%
14,NYM 3.3,@SF 3.7,9:45pm,54°
