,away,home,time,weather
0,ARI 3.9,@STL 4.1,1:15pm,66°
1,NYM 3.7,@SF 3.8,3:45pm,62°         2%
2,BAL 5.0,@LAA 4.5,4:07pm,65°         5%
3,BOS 3.8,@CLE 4.2,6:10pm,42°         5%
4,PHI 3.9,@CIN 4.6,6:40pm,54°
5,MIL 4.1,@PIT 3.9,6:40pm,49°
6,LAD 5.4,@WAS 4.1,6:45pm,67°         5%
7,DET 3.9,@TB 4.1,6:50pm,
8,OAK 3.4,@NYY 5.1,7:05pm,57°         16%
9,MIA 3.5,@ATL 5.5,7:20pm,67°         2%
10,HOU 3.7,@CHC 3.8,7:40pm,41°
11,TOR 4.5,@KC 4.0,7:40pm,68°         16%
12,CHW 2.7,@MIN 3.8,7:40pm,57°         1%
13,SEA 4.1,@TEX 4.9,8:05pm,74°         11%
14,SD 5.7,@COL 4.8,8:40pm,70°         7%
