,away,home,time,weather
0,COL 3.1,@PIT 3.9,1:35pm,72°         58%
1,TOR 3.9,@WAS 4.1,1:35pm,66°         31%
2,DET 3.1,@NYY 3.4,1:35pm,52°         97%
3,LAA 3.6,@CLE 4.4,1:40pm,68°         22%
4,NYM 3.4,@TB 3.6,1:40pm,
5,SEA 3.8,@HOU 4.2,2:10pm,79°          51%
6,TEX 4.5,@KC 4.0,2:10pm,68°         17%
7,BOS 3.3,@MIN 4.2,2:10pm,67°
8,CHW 3.4,@STL 4.1,2:15pm,70°         33%
9,MIL 3.5,@CHC 3.0,2:20pm,56°
10,MIA 3.5,@OAK 4.0,4:07pm,57°
11,BAL 4.3,@CIN 4.7,4:10pm,74°         5%
12,SD 4.1,@ARI 4.4,4:10pm,82°          3%
13,ATL 4.6,@LAD 3.9,4:10pm,65°
14,SF 3.9,@PHI 4.1,7:10pm,59°         28%
