Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
TOR-NYY-20240405-1,TOR,NYY,1:05pm,1,-150,+134,,,,,,,4/5/2024 23:59:59,Y
OAK-DET-20240405-1,OAK,DET,1:10pm,1,-239,+204,,,,,,,4/5/2024 23:59:59,Y
LAD-CHC-20240405-1,LAD,CHC,2:20pm,1,+157,-173,0.4375,0.12437500000000012,-0.1123554913294798,1.0,0.0,0.5625,4/5/2024 23:59:59,Y
TB-COL-20240405-1,TB,COL,4:10pm,1,+145,-161,0.20000000000000176,-0.5099999999999957,0.2938271604938244,0.0,1.0,0.7999999999999983,4/5/2024 23:59:59,Y
BAL-PIT-20240405-1,BAL,PIT,4:12pm,1,+104,-116,0.20000000000000176,-0.5899999999999964,0.48965517241378964,0.0,1.0,0.7999999999999983,4/5/2024 23:59:59,Y
SD-SF-20240405-1,SD,SF,4:35pm,1,-121,+110,,,,,,,4/5/2024 23:59:59,Y
NYM-CIN-20240405-1,NYM,CIN,6:40pm,1,-125,+112,0.5420711974109989,-0.024271844660202047,-0.029190938511317488,0.0,0.0,0.45792880258900115,4/5/2024 23:59:59,Y
PHI-WAS-20240405-1,PHI,WAS,6:45pm,1,+174,-195,,,,,,,4/5/2024 23:59:59,Y
ARI-ATL-20240405-1,ARI,ATL,7:20pm,1,-309,+252,0.7829457364341046,0.036326233661970075,-0.23379844961238927,1.0,0.0,0.2170542635658954,4/5/2024 23:59:59,Y
CHW-KC-20240405-1,CHW,KC,7:40pm,1,-182,+163,,,,,,,4/5/2024 23:59:59,Y
HOU-TEX-20240405-1,HOU,TEX,8:05pm,1,+122,-135,,,,,,,4/5/2024 23:59:59,Y
SEA-MIL-20240405-1,SEA,MIL,8:10pm,1,-122,+111,,,,,,,4/5/2024 23:59:59,Y
BOS-LAA-20240405-1,BOS,LAA,9:38pm,1,-103,-107,0.4242424242424282,-0.16387172697851532,0.10886644219976793,0.0,1.0,0.5757575757575718,4/5/2024 23:59:59,Y
