,away,home,time,weather
0,TOR 3.9,@NYY 4.6,1:05pm,48°         21%
1,OAK 2.8,@DET 4.2,1:10pm,45°         20%
2,LAD 4.2,@CHC 3.3,2:20pm,42°         4%
3,TB 6.9,@COL 5.6,4:10pm,74°         4%
4,BAL 3.8,@PIT 3.7,4:12pm,39°         37%
5,SD 3.6,@SF 3.9,4:35pm,50°         11%
6,NYM 4.3,@CIN 4.7,6:40pm,42°         7%
7,PHI 4.6,@WAS 3.4,6:45pm,43°         2%
8,ARI 3.3,@ATL 5.7,7:20pm,50°
9,CHW 3.4,@KC 4.6,7:40pm,53°
10,HOU 5.3,@TEX 4.7,8:05pm,74°
11,SEA 3.6,@MIL 3.9,8:10pm,37°
12,BOS 4.1,@LAA 4.4,9:38pm,52°         21%
