,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,ARI,4/24/2024,1,606466,Ketel Marte,1,N,,outdoor
1,ARI,4/24/2024,1,682998,Corbin Carroll,2,N,,outdoor
2,ARI,4/24/2024,1,666971,Lourdes Gurriel,3,N,,outdoor
3,ARI,4/24/2024,1,572233,Christian Walker,4,N,,outdoor
4,ARI,4/24/2024,1,553993,Eugenio Suarez,5,N,,outdoor
5,ARI,4/24/2024,1,545341,Randal Grichuk,6,N,,outdoor
6,ARI,4/24/2024,1,672515,Gabriel Moreno,7,N,,outdoor
7,ARI,4/24/2024,1,677942,Blaze Alexander,8,N,,outdoor
8,ARI,4/24/2024,1,621028,Kevin Newman,9,N,,outdoor
9,ARI,4/24/2024,1,656756,Jordan Montgomery,SP,N,,outdoor
10,STL,4/24/2024,1,680977,Brendan Donovan,1,N,,outdoor
11,STL,4/24/2024,1,502671,Paul Goldschmidt,2,N,,outdoor
12,STL,4/24/2024,1,575929,Willson Contreras,3,N,,outdoor
13,STL,4/24/2024,1,571448,Nolan Arenado,4,N,,outdoor
14,STL,4/24/2024,1,671056,Ivan Herrera,5,N,,outdoor
15,STL,4/24/2024,1,691026,Masyn Winn,6,N,,outdoor
16,STL,4/24/2024,1,663457,Lars Nootbaar,7,N,,outdoor
17,STL,4/24/2024,1,691023,Jordan Walker,8,N,,outdoor
18,STL,4/24/2024,1,672279,Mike Siani,9,N,,outdoor
19,STL,4/24/2024,1,502043,Kyle Gibson,SP,N,,outdoor
20,NYM,4/24/2024,1,607043,Brandon Nimmo,1,N,,outdoor
21,NYM,4/24/2024,1,516782,Starling Marte,2,N,,outdoor
22,NYM,4/24/2024,1,596019,Francisco Lindor,3,N,,outdoor
23,NYM,4/24/2024,1,624413,Peter Alonso,4,N,,outdoor
24,NYM,4/24/2024,1,683146,Brett Baty,5,N,,outdoor
25,NYM,4/24/2024,1,621466,DJ Stewart,6,N,,outdoor
26,NYM,4/24/2024,1,643446,Jeff McNeil,7,N,,outdoor
27,NYM,4/24/2024,1,664056,Harrison Bader,8,N,,outdoor
28,NYM,4/24/2024,1,553882,Omar Narvaez,9,N,,outdoor
29,NYM,4/24/2024,1,640455,Sean Manaea,SP,N,,outdoor
30,SF,4/24/2024,1,808982,Jung Hoo Lee,1,N,,outdoor
31,SF,4/24/2024,1,664774,LaMonte Wade,2,N,,outdoor
32,SF,4/24/2024,1,624585,Jorge Soler,3,N,,outdoor
33,SF,4/24/2024,1,624424,Michael Conforto,4,N,,outdoor
34,SF,4/24/2024,1,656305,Matt Chapman,5,N,,outdoor
35,SF,4/24/2024,1,642731,Thairo Estrada,6,N,,outdoor
36,SF,4/24/2024,1,573262,Mike Yastrzemski,7,N,,outdoor
37,SF,4/24/2024,1,672275,Patrick Bailey,8,N,,outdoor
38,SF,4/24/2024,1,605113,Nick Ahmed,9,N,,outdoor
39,SF,4/24/2024,1,605483,Blake Snell,SP,N,,outdoor
