,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,LAD,4/10/2024,1,605141,Mookie Betts,1,Y,2B,70 O CF 10-10 17% outdoor
1,LAD,4/10/2024,1,660271,Shohei (H) Ohtani,2,Y,DH,70 O CF 10-10 17% outdoor
2,LAD,4/10/2024,1,518692,Freddie Freeman,3,Y,1B,70 O CF 10-10 17% outdoor
3,LAD,4/10/2024,1,606192,Teoscar Hernandez,4,Y,RF,70 O CF 10-10 17% outdoor
4,LAD,4/10/2024,1,571970,Max Muncy,5,Y,3B,70 O CF 10-10 17% outdoor
5,LAD,4/10/2024,1,571771,Enrique Hernandez,6,Y,LF,70 O CF 10-10 17% outdoor
6,LAD,4/10/2024,1,681546,James Outman,7,Y,CF,70 O CF 10-10 17% outdoor
7,LAD,4/10/2024,1,500743,Miguel Rojas,8,Y,SS,70 O CF 10-10 17% outdoor
8,LAD,4/10/2024,1,605131,Austin Barnes,9,Y,C,70 O CF 10-10 17% outdoor
9,LAD,4/10/2024,1,676272,Bobby Miller,SP,Y,,70 O CF 10-10 17% outdoor
10,MIN,4/10/2024,1,666397,Edouard Julien,1,Y,2B,70 O CF 10-10 17% outdoor
11,MIN,4/10/2024,1,621043,Carlos Correa,2,Y,SS,70 O CF 10-10 17% outdoor
12,MIN,4/10/2024,1,666135,Alex Kirilloff,3,Y,RF,70 O CF 10-10 17% outdoor
13,MIN,4/10/2024,1,621439,Byron Buxton,4,Y,DH,70 O CF 10-10 17% outdoor
14,MIN,4/10/2024,1,622534,Manuel Margot,5,Y,LF,70 O CF 10-10 17% outdoor
15,MIN,4/10/2024,1,668885,Austin Martin,6,Y,CF,70 O CF 10-10 17% outdoor
16,MIN,4/10/2024,1,467793,Carlos Santana,7,Y,1B,70 O CF 10-10 17% outdoor
17,MIN,4/10/2024,1,543877,Christian Vazquez,8,Y,C,70 O CF 10-10 17% outdoor
18,MIN,4/10/2024,1,571657,Kyle Farmer,9,Y,3B,70 O CF 10-10 17% outdoor
19,MIN,4/10/2024,1,663978,Chris Paddack,SP,Y,,70 O CF 10-10 17% outdoor
20,PHI,4/10/2024,1,656941,Kyle Schwarber,1,Y,DH,59 N LR 12-14 83% outdoor
21,PHI,4/10/2024,1,607208,Trea Turner,2,Y,SS,59 N LR 12-14 83% outdoor
22,PHI,4/10/2024,1,547180,Bryce Harper,3,Y,1B,59 N LR 12-14 83% outdoor
23,PHI,4/10/2024,1,592663,JT Realmuto,4,Y,C,59 N LR 12-14 83% outdoor
24,PHI,4/10/2024,1,664761,Alec Bohm,5,Y,3B,59 N LR 12-14 83% outdoor
25,PHI,4/10/2024,1,669016,Brandon Marsh,6,Y,LF,59 N LR 12-14 83% outdoor
26,PHI,4/10/2024,1,592206,Nick Castellanos,7,Y,RF,59 N LR 12-14 83% outdoor
27,PHI,4/10/2024,1,681082,Bryson Stott,8,Y,2B,59 N LR 12-14 83% outdoor
28,PHI,4/10/2024,1,679032,Johan Rojas,9,Y,CF,59 N LR 12-14 83% outdoor
29,PHI,4/10/2024,1,605400,Aaron Nola,SP,Y,,59 N LR 12-14 83% outdoor
30,STL,4/10/2024,1,680977,Brendan Donovan,1,Y,LF,59 N LR 12-14 83% outdoor
31,STL,4/10/2024,1,575929,Willson Contreras,2,Y,DH,59 N LR 12-14 83% outdoor
32,STL,4/10/2024,1,669357,Nolan Gorman,3,Y,2B,59 N LR 12-14 83% outdoor
33,STL,4/10/2024,1,571448,Nolan Arenado,4,Y,3B,59 N LR 12-14 83% outdoor
34,STL,4/10/2024,1,671056,Ivan Herrera,5,Y,C,59 N LR 12-14 83% outdoor
35,STL,4/10/2024,1,676475,Alec Burleson,6,Y,1B,59 N LR 12-14 83% outdoor
36,STL,4/10/2024,1,543063,Brandon Crawford,7,Y,SS,59 N LR 12-14 83% outdoor
37,STL,4/10/2024,1,691023,Jordan Walker,8,Y,RF,59 N LR 12-14 83% outdoor
38,STL,4/10/2024,1,687363,Victor Scott,9,Y,CF,59 N LR 12-14 83% outdoor
39,STL,4/10/2024,1,458681,Lance Lynn,SP,Y,,59 N LR 12-14 83% outdoor
40,SEA,4/10/2024,1,641487,J.P. Crawford,1,Y,SS,76 O CF 16-20 3% outdoor
41,SEA,4/10/2024,1,677594,Julio Rodriguez,2,Y,CF,76 O CF 16-20 3% outdoor
42,SEA,4/10/2024,1,664034,Ty France,3,Y,1B,76 O CF 16-20 3% outdoor
43,SEA,4/10/2024,1,571745,Mitch Haniger,4,Y,RF,76 O CF 16-20 3% outdoor
44,SEA,4/10/2024,1,593871,Jorge Polanco,5,Y,2B,76 O CF 16-20 3% outdoor
45,SEA,4/10/2024,1,641598,Mitch Garver,6,Y,DH,76 O CF 16-20 3% outdoor
46,SEA,4/10/2024,1,663728,Cal Raleigh,7,Y,C,76 O CF 16-20 3% outdoor
47,SEA,4/10/2024,1,664238,Dylan Moore,8,Y,LF,76 O CF 16-20 3% outdoor
48,SEA,4/10/2024,1,649966,Luis Urias,9,Y,3B,76 O CF 16-20 3% outdoor
49,SEA,4/10/2024,1,669302,Logan Gilbert,SP,Y,,76 O CF 16-20 3% outdoor
50,TOR,4/10/2024,1,543807,George Springer,1,Y,RF,76 O CF 16-20 3% outdoor
51,TOR,4/10/2024,1,665489,Vladimir Guerrero,2,Y,DH,76 O CF 16-20 3% outdoor
52,TOR,4/10/2024,1,666182,Bo Bichette,3,Y,SS,76 O CF 16-20 3% outdoor
53,TOR,4/10/2024,1,457759,Justin Turner,4,Y,1B,76 O CF 16-20 3% outdoor
54,TOR,4/10/2024,1,624415,Cavan Biggio,5,Y,2B,76 O CF 16-20 3% outdoor
55,TOR,4/10/2024,1,672386,Alejandro Kirk,6,Y,C,76 O CF 16-20 3% outdoor
56,TOR,4/10/2024,1,595281,Kevin Kiermaier,7,Y,CF,76 O CF 16-20 3% outdoor
57,TOR,4/10/2024,1,676391,Ernie Clement,8,Y,3B,76 O CF 16-20 3% outdoor
58,TOR,4/10/2024,1,662139,Daulton Varsho,9,Y,LF,76 O CF 16-20 3% outdoor
59,TOR,4/10/2024,1,579328,Yusei Kikuchi,SP,Y,,76 O CF 16-20 3% outdoor
60,ARI,4/10/2024,1,606466,Ketel Marte,1,Y,DH,57 I CF 13-14 20% outdoor
61,ARI,4/10/2024,1,682998,Corbin Carroll,2,Y,CF,57 I CF 13-14 20% outdoor
62,ARI,4/10/2024,1,666971,Lourdes Gurriel,3,Y,LF,57 I CF 13-14 20% outdoor
63,ARI,4/10/2024,1,572233,Christian Walker,4,Y,1B,57 I CF 13-14 20% outdoor
64,ARI,4/10/2024,1,553993,Eugenio Suarez,5,Y,3B,57 I CF 13-14 20% outdoor
65,ARI,4/10/2024,1,545341,Randal Grichuk,6,Y,RF,57 I CF 13-14 20% outdoor
66,ARI,4/10/2024,1,677942,Blaze Alexander,7,Y,SS,57 I CF 13-14 20% outdoor
67,ARI,4/10/2024,1,571466,Tucker Barnhart,8,Y,C,57 I CF 13-14 20% outdoor
68,ARI,4/10/2024,1,621028,Kevin Newman,9,Y,2B,57 I CF 13-14 20% outdoor
69,ARI,4/10/2024,1,674072,Tommy Henry,SP,Y,,57 I CF 13-14 20% outdoor
70,COL,4/10/2024,1,678662,Ezequiel Tovar,1,Y,SS,57 I CF 13-14 20% outdoor
71,COL,4/10/2024,1,641857,Ryan McMahon,2,Y,3B,57 I CF 13-14 20% outdoor
72,COL,4/10/2024,1,592178,Kris Bryant,3,Y,DH,57 I CF 13-14 20% outdoor
