,away,home,time,weather
0,BAL 4.4,@PIT 4.1,1:35pm,57°
1,PHI 4.1,@WAS 3.4,1:35pm,64°
2,ARI 3.6,@ATL 5.4,1:35pm,72°
3,TOR 3.6,@NYY 4.4,1:35pm,51°         13%
4,NYM 4.4,@CIN 4.1,1:40pm,63°         64%
5,OAK 3.3,@DET 4.7,1:40pm,52°         31%
6,CHW 4.3,@KC 4.7,2:10pm,70°         1%
7,SEA 4.2,@MIL 4.8,2:10pm,46°          93%
8,MIA 4.2,@STL 4.8,2:15pm,68°         6%
9,LAD 4.1,@CHC 4.4,2:20pm,48°         20%
10,TB 6.2,@COL 5.3,3:10pm,54°
11,SD 3.5,@SF 4.5,4:05pm,59°         1%
12,BOS 4.4,@LAA 4.1,4:07pm,62°
13,HOU 5.1,@TEX 5.4,7:10pm,74°
