,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,OAK,4/6/2024,1,676116,Ryan Noda,1,Y,1B,56 O CF 9-10 1% outdoor
1,OAK,4/6/2024,1,680869,Zack Gelof,2,Y,2B,56 O CF 9-10 1% outdoor
2,OAK,4/6/2024,1,668709,JJ Bleday,3,Y,CF,56 O CF 9-10 1% outdoor
3,OAK,4/6/2024,1,667670,Brent Rooker,4,Y,DH,56 O CF 9-10 1% outdoor
4,OAK,4/6/2024,1,664913,Seth Brown,5,Y,LF,56 O CF 9-10 1% outdoor
5,OAK,4/6/2024,1,605204,J.D. Davis,6,Y,3B,56 O CF 9-10 1% outdoor
6,OAK,4/6/2024,1,669127,Shea Langeliers,7,Y,C,56 O CF 9-10 1% outdoor
7,OAK,4/6/2024,1,671732,Lawrence Butler,8,Y,RF,56 O CF 9-10 1% outdoor
8,OAK,4/6/2024,1,669397,Nick Allen,9,Y,SS,56 O CF 9-10 1% outdoor
9,OAK,4/6/2024,1,621112,Paul Blackburn,SP,Y,,56 O CF 9-10 1% outdoor
10,DET,4/6/2024,1,678009,Parker Meadows,1,Y,CF,56 O CF 9-10 1% outdoor
11,DET,4/6/2024,1,679529,Spencer Torkelson,2,Y,1B,56 O CF 9-10 1% outdoor
12,DET,4/6/2024,1,681481,Kerry Carpenter,3,Y,DH,56 O CF 9-10 1% outdoor
13,DET,4/6/2024,1,682985,Riley Greene,4,Y,LF,56 O CF 9-10 1% outdoor
14,DET,4/6/2024,1,592192,Mark Canha,5,Y,RF,56 O CF 9-10 1% outdoor
15,DET,4/6/2024,1,690993,Colt Keith,6,Y,2B,56 O CF 9-10 1% outdoor
16,DET,4/6/2024,1,570482,Giovanny Urshela,7,Y,3B,56 O CF 9-10 1% outdoor
17,DET,4/6/2024,1,595879,Javier Baez,8,Y,SS,56 O CF 9-10 1% outdoor
18,DET,4/6/2024,1,608348,Carson Kelly,9,Y,C,56 O CF 9-10 1% outdoor
19,DET,4/6/2024,1,628317,Kenta Maeda,SP,Y,,56 O CF 9-10 1% outdoor
20,CLE,4/6/2024,1,680757,Steven Kwan,1,Y,LF,58 I RF 20-20 0% outdoor
21,CLE,4/6/2024,1,665926,Andres Gimenez,2,Y,2B,58 I RF 20-20 0% outdoor
22,CLE,4/6/2024,1,608070,Jose Ramirez,3,Y,3B,58 I RF 20-20 0% outdoor
23,CLE,4/6/2024,1,647304,Josh Naylor,4,Y,1B,58 I RF 20-20 0% outdoor
24,CLE,4/6/2024,1,671289,Tyler Freeman,5,Y,CF,58 I RF 20-20 0% outdoor
25,CLE,4/6/2024,1,686823,Will Brennan,6,Y,RF,58 I RF 20-20 0% outdoor
26,CLE,4/6/2024,1,666310,Bo Naylor,7,Y,DH,58 I RF 20-20 0% outdoor
27,CLE,4/6/2024,1,681807,David Fry,8,Y,C,58 I RF 20-20 0% outdoor
28,CLE,4/6/2024,1,677587,Brayan Rocchio,9,Y,SS,58 I RF 20-20 0% outdoor
29,CLE,4/6/2024,1,471911,Carlos Carrasco,SP,Y,,58 I RF 20-20 0% outdoor
30,MIN,4/6/2024,1,666397,Edouard Julien,1,Y,2B,58 I RF 20-20 0% outdoor
31,MIN,4/6/2024,1,621043,Carlos Correa,2,Y,SS,58 I RF 20-20 0% outdoor
32,MIN,4/6/2024,1,666135,Alex Kirilloff,3,Y,1B,58 I RF 20-20 0% outdoor
33,MIN,4/6/2024,1,621439,Byron Buxton,4,Y,CF,58 I RF 20-20 0% outdoor
34,MIN,4/6/2024,1,596146,Max Kepler,5,Y,RF,58 I RF 20-20 0% outdoor
35,MIN,4/6/2024,1,467793,Carlos Santana,6,Y,DH,58 I RF 20-20 0% outdoor
36,MIN,4/6/2024,1,670242,Matt Wallner,7,Y,LF,58 I RF 20-20 0% outdoor
37,MIN,4/6/2024,1,680777,Ryan Jeffers,8,Y,C,58 I RF 20-20 0% outdoor
38,MIN,4/6/2024,1,650489,Willi Castro,9,Y,3B,58 I RF 20-20 0% outdoor
39,MIN,4/6/2024,1,657746,Joe Ryan,SP,Y,,58 I RF 20-20 0% outdoor
40,MIA,4/6/2024,1,650333,Luis Arraez,1,Y,2B,59 N RL 12-13 1% outdoor
41,MIA,4/6/2024,1,605137,Josh Bell,2,Y,DH,59 N RL 12-13 1% outdoor
42,MIA,4/6/2024,1,669394,Jake Burger,3,Y,1B,59 N RL 12-13 1% outdoor
43,MIA,4/6/2024,1,650559,Bryan De La Cruz,4,Y,LF,59 N RL 12-13 1% outdoor
44,MIA,4/6/2024,1,665862,Jazz Chisholm,5,Y,CF,59 N RL 12-13 1% outdoor
45,MIA,4/6/2024,1,641313,Tim Anderson,6,Y,SS,59 N RL 12-13 1% outdoor
46,MIA,4/6/2024,1,541645,Avisail Garcia,7,Y,RF,59 N RL 12-13 1% outdoor
47,MIA,4/6/2024,1,656896,Emmanuel Rivera,8,Y,3B,59 N RL 12-13 1% outdoor
48,MIA,4/6/2024,1,663743,Nicholas Fortes,9,Y,C,59 N RL 12-13 1% outdoor
