Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
OAK-DET-20240406-1,OAK,DET,1:10pm,1,-142,+129,,,,,,,4/6/2024 23:59:42,Y
CLE-MIN-20240406-1,CLE,MIN,2:10pm,1,-165,+148,0.5420711974109989,-0.1294008041580928,0.13566343042072282,0.0,1.0,0.45792880258900115,4/6/2024 23:59:42,Y
MIA-STL-20240406-1,MIA,STL,2:15pm,1,-143,+129,0.5420711974109989,-0.0788580351687223,0.053236245954702555,0.0,1.0,0.45792880258900115,4/6/2024 23:59:42,Y
BAL-PIT-20240406-1,BAL,PIT,4:05pm,1,+119,-131,0.4375,-0.041874999999999996,-0.008110687022900909,0.0,0.0,0.5625,4/6/2024 23:59:42,Y
LAD-CHC-20240406-1,LAD,CHC,4:05pm,1,+132,-145,0.5500000000000052,0.2760000000000121,-0.2396551724138018,1.0,0.0,0.44999999999999485,4/6/2024 23:59:42,Y
PHI-WAS-20240406-1,PHI,WAS,4:05pm,1,+170,-188,,,,,,,4/6/2024 23:59:42,Y
NYM-CIN-20240406-1,NYM,CIN,4:10pm,1,-116,+107,0.5,-0.07264957264957261,0.03500000000000014,0.0,1.0,0.5,4/6/2024 23:59:42,Y
TOR-NYY-20240406-1,TOR,NYY,7:05pm,1,-118,+108,0.4242424242424282,-0.21925133689838838,0.20333333333332504,0.0,1.0,0.5757575757575718,4/6/2024 23:59:42,Y
HOU-TEX-20240406-1,HOU,TEX,7:05pm,1,-105,-105,,,,,,,4/6/2024 23:59:42,Y
CHW-KC-20240406-1,CHW,KC,7:10pm,1,-225,+192,0.5420711974109989,-0.217008270406335,0.33715210355988334,0.0,1.0,0.45792880258900115,4/6/2024 23:59:42,Y
SEA-MIL-20240406-1,SEA,MIL,7:10pm,1,-118,+108,,,,,,,4/6/2024 23:59:42,Y
ARI-ATL-20240406-1,ARI,ATL,7:20pm,1,-195,+173,0.8225806451612847,0.244416873449123,-0.5156451612903072,1.0,0.0,0.1774193548387153,4/6/2024 23:59:42,Y
TB-COL-20240406-1,TB,COL,8:10pm,1,+119,-130,0.4242424242424282,-0.07090909090908226,0.018648018648011633,0.0,1.0,0.5757575757575718,4/6/2024 23:59:42,Y
SD-SF-20240406-1,SD,SF,9:05pm,1,-115,+104,,,,,,,4/6/2024 23:59:42,Y
BOS-LAA-20240406-1,BOS,LAA,9:38pm,1,-115,+106,0.5420711974109989,0.013437456029258554,-0.056666666666657595,1.0,0.0,0.45792880258900115,4/6/2024 23:59:42,Y
