,away,home,time,weather
0,OAK 3.9,@DET 4.6,1:10pm,56°         1%
1,CLE 3.5,@MIN 4.5,2:10pm,58°
2,MIA 3.7,@STL 4.3,2:15pm,59°         1%
3,LAD 4.3,@CHC 3.7,4:05pm,43°
4,BAL 4.5,@PIT 4.0,4:05pm,42°         3%
5,PHI 4.6,@WAS 3.4,4:05pm,51°         1%
6,NYM 4.6,@CIN 4.9,4:10pm,51°
7,HOU 4.9,@TEX 5.1,7:05pm,68°         18%
8,TOR 3.6,@NYY 3.9,7:05pm,42°         7%
9,CHW 3.7,@KC 5.3,7:10pm,63°         63%
10,SEA 4.1,@MIL 4.4,7:10pm,37°
11,ARI 3.8,@ATL 5.2,7:20pm,47°
12,TB 6.1,@COL 5.4,8:10pm,40°         6%
13,SD 3.9,@SF 4.1,9:05pm,47°         2%
14,BOS 3.9,@LAA 4.1,9:38pm,54°
