Game_ID,Date,Home,Away,Home_Runs,Away_Runs,Game_Number
TEX-TB-20240403-1,2024-04-03,TEX,TB,1,4,1
PIT-WAS-20240403-1,2024-04-03,PIT,WAS,5,3,1
CHW-KC-20240404-1,2024-04-04,CHW,KC,10,1,1
CLE-MIN-20240404-1,2024-04-04,CLE,MIN,2,4,1
DET-NYM-20240404-1,2024-04-04,DET,NYM,3,6,1
DET-NYM-20240404-2,2024-04-04,DET,NYM,2,1,2
MIA-STL-20240404-1,2024-04-04,MIA,STL,8,5,1
PIT-WAS-20240404-1,2024-04-04,PIT,WAS,4,7,1
BOS-LAA-20240405-1,2024-04-05,BOS,LAA,6,8,1
ARI-ATL-20240405-1,2024-04-05,ARI,ATL,6,5,1
LAD-CHC-20240405-1,2024-04-05,LAD,CHC,9,7,1
NYM-CIN-20240405-1,2024-04-05,NYM,CIN,2,3,1
TB-COL-20240405-1,2024-04-05,TB,COL,10,7,1
OAK-DET-20240405-1,2024-04-05,OAK,DET,5,4,1
CHW-KC-20240405-1,2024-04-05,CHW,KC,2,1,1
SEA-MIL-20240405-1,2024-04-05,SEA,MIL,6,5,1
TOR-NYY-20240405-1,2024-04-05,TOR,NYY,0,3,1
BAL-PIT-20240405-1,2024-04-05,BAL,PIT,2,5,1
SD-SF-20240405-1,2024-04-05,SD,SF,3,2,1
HOU-TEX-20240405-1,2024-04-05,HOU,TEX,10,2,1
PHI-WAS-20240405-1,2024-04-05,PHI,WAS,0,4,1
BOS-LAA-20240406-1,2024-04-06,BOS,LAA,2,1,1
ARI-ATL-20240406-1,2024-04-06,ARI,ATL,9,8,1
LAD-CHC-20240406-1,2024-04-06,LAD,CHC,1,4,1
NYM-CIN-20240406-1,2024-04-06,NYM,CIN,9,6,1
TB-COL-20240406-1,2024-04-06,TB,COL,6,8,1
OAK-DET-20240406-1,2024-04-06,OAK,DET,0,4,1
CHW-KC-20240406-1,2024-04-06,CHW,KC,3,0,1
SEA-MIL-20240406-1,2024-04-06,SEA,MIL,3,5,1
CLE-MIN-20240406-1,2024-04-06,CLE,MIN,1,3,1
TOR-NYY-20240406-1,2024-04-06,TOR,NYY,9,8,1
BAL-PIT-20240406-1,2024-04-06,BAL,PIT,5,4,1
SD-SF-20240406-1,2024-04-06,SD,SF,0,4,1
MIA-STL-20240406-1,2024-04-06,MIA,STL,3,1,1
HOU-TEX-20240406-1,2024-04-06,HOU,TEX,7,2,1
PHI-WAS-20240406-1,2024-04-06,PHI,WAS,2,5,1
BOS-LAA-20240407-1,2024-04-07,BOS,LAA,2,12,1
ARI-ATL-20240407-1,2024-04-07,ARI,ATL,5,2,1
LAD-CHC-20240407-1,2024-04-07,LAD,CHC,8,1,1
NYM-CIN-20240407-1,2024-04-07,NYM,CIN,1,3,1
TB-COL-20240407-1,2024-04-07,TB,COL,2,3,1
OAK-DET-20240407-1,2024-04-07,OAK,DET,1,7,1
CHW-KC-20240407-1,2024-04-07,CHW,KC,5,3,1
SEA-MIL-20240407-1,2024-04-07,SEA,MIL,12,4,1
TOR-NYY-20240407-1,2024-04-07,TOR,NYY,8,3,1
BAL-PIT-20240407-1,2024-04-07,BAL,PIT,3,2,1
SD-SF-20240407-1,2024-04-07,SD,SF,3,2,1
MIA-STL-20240407-1,2024-04-07,MIA,STL,3,10,1
HOU-TEX-20240407-1,2024-04-07,HOU,TEX,1,3,1
PHI-WAS-20240407-1,2024-04-07,PHI,WAS,3,2,1
TB-LAA-20240408-1,2024-04-08,TB,LAA,7,1,1
NYM-ATL-20240408-1,2024-04-08,NYM,ATL,7,8,1
MIL-CIN-20240408-1,2024-04-08,MIL,CIN,10,8,1
CHW-CLE-20240408-1,2024-04-08,CHW,CLE,4,0,1
ARI-COL-20240408-1,2024-04-08,ARI,COL,7,5,1
LAD-MIN-20240408-1,2024-04-08,LAD,MIN,2,4,1
MIA-NYY-20240408-1,2024-04-08,MIA,NYY,7,0,1
DET-PIT-20240408-1,2024-04-08,DET,PIT,7,4,1
CHC-SD-20240408-1,2024-04-08,CHC,SD,9,8,1
WAS-SF-20240408-1,2024-04-08,WAS,SF,1,8,1
PHI-STL-20240408-1,2024-04-08,PHI,STL,3,5,1
HOU-TEX-20240408-1,2024-04-08,HOU,TEX,5,10,1
SEA-TOR-20240408-1,2024-04-08,SEA,TOR,5,2,1
TB-LAA-20240409-1,2024-04-09,TB,LAA,4,6,1
NYM-ATL-20240409-1,2024-04-09,NYM,ATL,6,5,1
BAL-BOS-20240409-1,2024-04-09,BAL,BOS,1,7,1
MIL-CIN-20240409-1,2024-04-09,MIL,CIN,5,9,1
CHW-CLE-20240409-1,2024-04-09,CHW,CLE,5,7,1
ARI-COL-20240409-1,2024-04-09,ARI,COL,2,3,1
HOU-KC-20240409-1,2024-04-09,HOU,KC,4,3,1
LAD-MIN-20240409-1,2024-04-09,LAD,MIN,3,6,1
MIA-NYY-20240409-1,2024-04-09,MIA,NYY,3,2,1
DET-PIT-20240409-1,2024-04-09,DET,PIT,3,5,1
CHC-SD-20240409-1,2024-04-09,CHC,SD,1,5,1
WAS-SF-20240409-1,2024-04-09,WAS,SF,3,5,1
PHI-STL-20240409-1,2024-04-09,PHI,STL,3,0,1
OAK-TEX-20240409-1,2024-04-09,OAK,TEX,3,4,1
SEA-TOR-20240409-1,2024-04-09,SEA,TOR,5,3,1
TB-LAA-20240410-1,2024-04-10,TB,LAA,2,4,1
BAL-BOS-20240410-1,2024-04-10,BAL,BOS,5,7,1
MIL-CIN-20240410-1,2024-04-10,MIL,CIN,2,7,1
CHW-CLE-20240410-1,2024-04-10,CHW,CLE,7,6,1
ARI-COL-20240410-1,2024-04-10,ARI,COL,3,5,1
HOU-KC-20240410-1,2024-04-10,HOU,KC,11,2,1
LAD-MIN-20240410-1,2024-04-10,LAD,MIN,3,2,1
MIA-NYY-20240410-1,2024-04-10,MIA,NYY,2,5,1
CHC-SD-20240410-1,2024-04-10,CHC,SD,10,2,1
WAS-SF-20240410-1,2024-04-10,WAS,SF,7,1,1
PHI-STL-20240410-1,2024-04-10,PHI,STL,3,4,1
OAK-TEX-20240410-1,2024-04-10,OAK,TEX,6,2,1
SEA-TOR-20240410-1,2024-04-10,SEA,TOR,1,6,1
NYM-ATL-20240411-1,2024-04-11,NYM,ATL,4,16,1
BAL-BOS-20240411-1,2024-04-11,BAL,BOS,4,9,1
HOU-KC-20240411-1,2024-04-11,HOU,KC,13,3,1
PIT-PHI-20240411-1,2024-04-11,PIT,PHI,5,1,1
OAK-TEX-20240411-1,2024-04-11,OAK,TEX,0,1,1
STL-ARI-20240412-1,2024-04-12,STL,ARI,6,9,1
MIL-BAL-20240412-1,2024-04-12,MIL,BAL,1,11,1
LAA-BOS-20240412-1,2024-04-12,LAA,BOS,0,7,1
CIN-CHW-20240412-1,2024-04-12,CIN,CHW,1,11,1
MIN-DET-20240412-1,2024-04-12,MIN,DET,8,2,1
TEX-HOU-20240412-1,2024-04-12,TEX,HOU,8,12,1
