Date,Bet_Kelly_Units,Result_Kelly_Units
2024-03-28,14.504655203509992,10.576160206723408
2024-03-29,13.63752488813559,5.75960951186441
2024-03-30,14.412710661939869,4.504507378281705
2024-03-31,18.314727241832166,-5.200132664341062
2024-04-01,19.9738082222238,3.3318261697506637
2024-04-02,20.640921872911996,-2.1242601510084
2024-04-03,5.409061180920676,-0.6084078079336623
2024-04-04,5.879593514963131,-0.5507312978202701
2024-04-05,16.265719781131825,4.80134486191297
2024-04-06,20.3884062080787,-6.842125968214985
2024-04-07,25.508255939058415,8.799615312934005
2024-04-08,11.466134647445376,9.975168535648196
2024-04-09,10.020466546990171,-5.390057288083345
2024-04-10,3.2981488987261534,1.2473304107816108
2024-04-11,5.448624495162166,5.1513755048378345
2024-04-12,3.081167118936375,-0.21298698294467355
2024-04-13,4.9049600299873575,0.027223418942363686
2024-04-14,8.956852881028446,-3.2969942088990667
2024-04-15,9.143577365800803,-3.6175085560840254
2024-04-16,1.9388472648256776,0.3240268456942985
2024-04-17,1.7151225435186814,-0.1910613877650329
2024-04-18,2.3592512898114246,-2.3592512898114246
2024-04-19,13.044875082700798,-1.525616214543986
2024-04-20,8.456033098304172,3.556484449510053
2024-04-21,7.367534541301943,3.5034466466493606
2024-04-23,8.310178036135145,-3.8034279046367123
2024-04-24,7.00792917982504,-3.351854216212561
2024-04-25,18.99316563615934,1.3451047719913567
2024-04-26,3.514283609929982,3.2663523620554367
2024-04-27,10.445925378882439,-0.48634511363904503
2024-04-28,15.454937975934689,-2.0281487946277066
2024-04-29,2.0664534790106894,0.05265296235804706
2024-04-30,4.641979995567274,-2.791477568540612
2024-05-01,16.596398348247405,-1.6389041103836868
2024-05-02,12.890825793363039,10.421365385328933
