,away,home,time,weather
0,LAD 4.7,@MIN 3.8,1:10pm,70°         17%
1,PHI 4.0,@STL 3.5,1:15pm,59°         83%
2,SEA 4.1,@TOR 4.4,3:07pm,76°         3%
3,ARI 5.6,@COL 5.4,3:10pm,57°         20%
4,WAS 3.6,@SF 4.9,3:45pm,77°         1%
5,TB 4.9,@LAA 4.6,4:07pm,79°
6,CHW 2.9,@CLE 4.6,6:10pm,54°         82%
7,CHC 3.8,@SD 4.7,6:40pm,65°
8,MIL 3.9,@CIN 4.6,6:40pm,61°         84%
9,MIA 3.5,@NYY 5.0,7:05pm,52°         32%
10,BAL 4.4,@BOS 4.6,7:10pm,51°         16%
11,HOU 4.9,@KC 4.6,7:40pm,60°         7%
12,OAK 3.8,@TEX 5.2,8:05pm,56°         2%
