,away,home,time,weather
0,SF 3.9,@MIA 4.1,12:10pm,81°          1%
1,MIN 4.1,@BAL 4.4,1:05pm,70°         49%
2,PIT 3.6,@NYM 4.4,1:10pm,57°         73%
3,TEX 3.5,@DET 4.0,1:10pm,66°         96%
4,SD 4.1,@MIL 4.4,1:10pm,63°          16%
5,ATL 5.0,@HOU 4.5,2:10pm,74°          3%
6,KC 4.8,@CHWG1 3.7,2:10pm,62°         12%
7,NYY 4.1,@TOR 4.4,3:07pm,75°         1%
8,WAS 3.9,@LAD 5.6,3:10pm,75°
9,STL 4.2,@OAK 3.8,3:37pm,74°
10,CHC 4.3,@ARI 4.7,3:40pm,91°
11,CIN 3.6,@SEA 3.9,4:10pm,55°
12,KC 5.1,@CHWG2 3.9,5:10pm,58°         2%
13,COL 3.1,@PHI 4.4,6:05pm,58°         76%
14,LAA 4.1,@TB 4.4,6:50pm,
15,CLE 4.0,@BOS 4.5,7:10pm,47°         14%
