Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Home_Kelly,Away_Kelly,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
SF-MIA-20240417-1,SF,MIA,12:10am,1,-103,-108,,,,,,,,,4/17/2024 23:59:42,Y
MIN-BAL-20240417-1,MIN,BAL,1:05pm,1,-115,+105,,,,,,,,,4/17/2024 23:59:42,Y
PIT-NYM-20240417-1,PIT,NYM,1:10pm,1,-152,+137,0.5995358764551849,-0.006032625876930264,-0.05090002719878817,-0.009169591332934001,-0.037153304524662895,0.0,0.0,0.4004641235448151,4/17/2024 23:59:42,Y
SD-MIL-20240417-1,SD,MIL,1:10pm,1,-112,-100,,,,,,,,,4/17/2024 23:59:42,Y
TEX-DET-20240417-1,TEX,DET,1:10pm,1,-141,+126,,,,,,,,,4/17/2024 23:59:42,Y
ATL-HOU-20240417-1,ATL,HOU,2:10pm,1,+119,-129,0.4319634432637119,-0.05400005925247109,0.008374972810930192,-0.045378201052496715,0.010803714926099876,0.0,1.0,0.5680365567362882,4/17/2024 23:59:42,Y
KC-CHW-20240417-2,KC,CHW,2:10pm,2,+160,-176,,,,,,,,,4/17/2024 23:59:42,Y
NYY-TOR-20240417-1,NYY,TOR,3:07pm,1,-113,+104,0.5365868294999373,0.0072770308156718255,-0.054637132179872094,0.00829581512986588,-0.05253570401910778,1.0,0.0,0.4634131705000627,4/17/2024 23:59:42,Y
WAS-LAD-20240417-1,WAS,LAD,3:10pm,1,-223,+194,0.6908469570431065,0.0006437987664726363,-0.09109005370673318,0.001435671249233979,-0.04695363593130576,1.0,0.0,0.3091530429568935,4/17/2024 23:59:42,Y
STL-OAK-20240417-1,STL,OAK,3:37pm,1,+113,-124,,,,,,,,,4/17/2024 23:59:42,Y
CHC-ARI-20240417-1,CHC,ARI,3:40pm,1,-127,+114,0.5502256850803087,-0.01652574399031448,-0.032985222922663704,-0.02098769486769939,-0.0286828025414467,0.0,0.0,0.44977431491969133,4/17/2024 23:59:42,Y
CIN-SEA-20240417-1,CIN,SEA,4:10pm,1,-128,+116,0.5754445971192742,0.0250106886187072,-0.08296032977763224,0.03201368143194522,-0.0715175256703726,1.0,0.0,0.4245554028807258,4/17/2024 23:59:42,Y
COL-PHI-20240417-1,COL,PHI,6:05pm,1,-215,+194,0.6623324609387402,-0.031032140478509662,-0.007257435159896186,-0.06702942343358086,-0.0037409459587093743,0.0,0.0,0.3376675390612598,4/17/2024 23:59:42,Y
LAA-TB-20240417-1,LAA,TB,6:50pm,1,-113,+102,0.5286324516144773,-0.0035512195231535704,-0.043123876777388936,-0.004012878061163535,-0.04186784153144558,0.0,0.0,0.47136754838552275,4/17/2024 23:59:42,Y
CLE-BOS-20240417-1,CLE,BOS,7:10pm,1,-130,+114,0.5174890894782621,-0.08444238015384398,0.037398457621736436,-0.10977509419999718,0.03252039793194473,0.0,1.0,0.4825109105217379,4/17/2024 23:59:42,Y
