Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Home_Kelly,Away_Kelly,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
MIL-CHC-20240503-1,MIL,CHC,2:20pm,1,-113,+103,,,,,,,,,5/3/2024 23:59:26,Y
BAL-CIN-20240503-1,BAL,CIN,6:10pm,1,-110,-100,0.46452644753378985,-0.11317678198094688,0.0709471049324204,-0.12449446017904162,0.07094710493242035,0.0,1.0,0.5354735524662102,5/3/2024 23:59:26,Y
SF-PHI-20240503-1,SF,PHI,6:40pm,1,-163,+149,0.5595809094665548,-0.09921121890749707,0.09664353542827864,-0.16270639900829517,0.06486143317334135,0.0,1.0,0.4404190905334452,5/3/2024 23:59:26,Y
COL-PIT-20240503-1,COL,PIT,6:40pm,1,-182,+162,,,,,,,,,5/3/2024 23:59:26,Y
TOR-WAS-20240503-1,TOR,WAS,6:45pm,1,+177,-202,0.4070653151695362,0.12757092301961537,-0.11353329297623738,0.07207396780769229,-0.2293372518119994,1.0,0.0,0.5929346848304637,5/3/2024 23:59:26,Y
NYM-TB-20240503-1,NYM,TB,6:50pm,1,-137,+124,,,,,,,,,5/3/2024 23:59:26,Y
DET-NYY-20240503-1,DET,NYY,7:05pm,1,-163,+145,0.5479059555986759,-0.1159554213346517,0.10763040878324404,-0.18900733677548226,0.07422786812637519,0.0,1.0,0.45209404440132406,5/3/2024 23:59:26,Y
LAA-CLE-20240503-1,LAA,CLE,7:10pm,1,-195,+169,,,,,,,,,5/3/2024 23:59:26,Y
TEX-KC-20240503-1,TEX,KC,7:40pm,1,-112,+102,0.4798077424459757,-0.09179248751297464,0.05078836025912914,-0.1028075860145316,0.049792510057969745,0.0,1.0,0.5201922575540243,5/3/2024 23:59:26,Y
SEA-HOU-20240503-1,SEA,HOU,8:10pm,1,-116,+104,0.5504572523746538,0.02498936649073452,-0.08293279484429378,0.028987665129252053,-0.07974307196566709,1.0,0.0,0.4495427476253462,5/3/2024 23:59:26,Y
BOS-MIN-20240503-1,BOS,MIN,8:10pm,1,-118,+108,,,,,,,,,5/3/2024 23:59:26,Y
CHW-STL-20240503-1,CHW,STL,8:15pm,1,-305,+245,0.7132891056245524,-0.05284561384280753,-0.010847414404705713,-0.16117912222056302,-0.004427516083553352,0.0,0.0,0.2867108943754476,5/3/2024 23:59:26,Y
SD-ARI-20240503-1,SD,ARI,9:40pm,1,+104,-113,0.4264653647070322,-0.13001065599765427,0.07663519256750095,-0.12501024615159065,0.08736411952695108,0.0,1.0,0.5735346352929678,5/3/2024 23:59:26,Y
MIA-OAK-20240503-1,MIA,OAK,9:40pm,1,-146,+129,,,,,,,,,5/3/2024 23:59:26,Y
ATL-LAD-20240503-1,ATL,LAD,10:10pm,1,-106,-103,0.4643074543086424,-0.09766664540018555,0.050781531933047686,-0.10352664412419668,0.05281279321036959,0.0,1.0,0.5356925456913576,5/3/2024 23:59:26,Y
