,away,home,time,weather
0,MIL 3.7,@CHC 3.8,2:20pm,60°
1,BAL 4.4,@CIN 4.6,6:10pm,70°         72%
2,COL 3.8,@PIT 4.7,6:40pm,75°         81%
3,SF 3.3,@PHI 4.2,6:40pm,60°         6%
4,TOR 4.9,@WAS 3.6,6:45pm,67°         48%
5,NYM 3.7,@TB 4.3,6:50pm,
6,DET 3.4,@NYY 4.1,7:05pm,58°         4%
7,LAA 3.0,@CLE 4.0,7:10pm,63°         33%
8,TEX 4.4,@KC 4.6,7:40pm,72°         3%
9,SEA 3.9,@HOU 4.1,8:10pm,75°          13%
10,BOS 3.9,@MIN 4.1,8:10pm,61°         32%
11,CHW 2.9,@STL 4.6,8:15pm,72°         3%
12,SD 4.1,@ARI 4.4,9:40pm,86°
13,MIA 3.7,@OAK 4.3,9:40pm,63°         14%
14,ATL 4.7,@LAD 4.8,10:10pm,59°
