,away,home,time,weather
0,DET 4.1,@PIT 4.4,12:35pm,74°         18%
1,BAL 4.2,@BOS 3.8,2:10pm,54°         1%
2,CHW 3.4,@CLE 5.1,6:10pm,63°         82%
3,MIL 4.5,@CIN 5.0,6:40pm,60°         71%
4,MIA 3.5,@NYY 5.0,7:05pm,58°         11%
5,SEA 4.1,@TOR 4.4,7:07pm,73°         2%
6,NYM 4.1,@ATL 5.4,7:20pm,61°         24%
7,HOU 4.4,@KC 4.1,7:40pm,60°         2%
8,LAD 4.6,@MIN 3.4,7:40pm,52°         15%
9,PHI 4.0,@STL 3.5,7:45pm,61°         19%
10,OAK 3.7,@TEX 5.3,8:05pm,63°         38%
11,ARI 6.2,@COL 4.8,8:40pm,53°         6%
12,TB 4.4,@LAA 4.1,9:38pm,70°
13,WAS 3.6,@SF 4.9,9:45pm,64°
14,CHC 3.7,@SD 4.3,10:05pm,64°
