,away,home,time,weather
0,TOR 3.3,@BAL 3.7,12:35pm,63°         46%
1,MIA 3.8,@DET 4.7,1:10pm,73°         10%
2,PIT 3.9,@MIL 4.6,1:10pm,63°
3,WAS 3.1,@CHW 3.9,2:10pm,61°
4,CIN 3.8,@ARI 4.7,3:40pm,95°          4%
5,COL 3.0,@SD 4.5,4:10pm,64°         10%
6,KC 3.7,@SEA 4.3,4:10pm,71°          1%
7,NYM 3.2,@PHI 4.3,6:40pm,59°         24%
8,TB 3.8,@BOS 4.2,7:10pm,59°         100%
9,CHC 3.6,@ATL 4.9,7:20pm,68°         1%
10,NYY 3.7,@MIN 4.3,7:40pm,62°         74%
11,CLE 3.7,@TEX 4.8,8:05pm,76°         18%
12,OAK 3.4,@HOU 5.1,8:10pm,76°          8%
13,STL 4.4,@LAA 4.1,9:07pm,60°         4%
14,LAD 4.2,@SF 3.8,9:45pm,58°
