Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
MIN-MIL-20240402-1,MIN,MIL,4:10pm,1,-117,+104,,,,,,,4/2/2024 23:59:45,Y
KC-BAL-20240402-1,KC,BAL,6:35pm,1,-156,+141,0.5561658,-0.08731763790815306,0.06964038729667665,0.0,1.0,0.4438342,4/2/2024 23:59:45,Y
CIN-PHI-20240402-1,CIN,PHI,6:40pm,1,-136,+125,0.49935496,-0.1334722778376411,0.12645134329795837,0.0,1.0,0.50064504,4/2/2024 23:59:45,Y
LAA-MIA-20240402-1,LAA,MIA,6:40pm,1,-139,+124,0.526408,-0.09758625711713514,0.06084604263305671,0.0,1.0,0.47359198,4/2/2024 23:59:45,Y
TEX-TB-20240402-1,TEX,TB,6:50pm,1,-152,+137,,,,,,,4/2/2024 23:59:45,Y
DET-NYM-20240402-1,DET,NYM,7:10pm,1,-140,+129,,,,,,,4/2/2024 23:59:45,Y
COL-CHC-20240402-1,COL,CHC,7:40pm,1,-175,+158,0.4676043,-0.2651932580130441,0.3735809588432313,0.0,1.0,0.5323957,4/2/2024 23:59:45,Y
ATL-CHW-20240402-1,ATL,CHW,7:40pm,1,+159,-174,,,,,,,4/2/2024 23:59:45,Y
TOR-HOU-20240402-1,TOR,HOU,8:10pm,1,-143,+127,0.50017077,-0.15005946534496928,0.13961065053939814,0.0,1.0,0.49982923,4/2/2024 23:59:45,Y
BOS-OAK-20240402-1,BOS,OAK,9:40pm,1,+131,-144,0.4787087,0.10581715971231465,-0.11670092741648358,1.0,0.0,0.52129126,4/2/2024 23:59:45,Y
CLE-SEA-20240402-1,CLE,SEA,9:40pm,1,-112,+102,0.39089155,-0.26009813376835417,0.23039906501770024,0.0,1.0,0.60910845,4/2/2024 23:59:45,Y
NYY-ARI-20240402-1,NYY,ARI,9:40pm,1,-106,-103,0.4023006,-0.2181705393881168,0.17241036891937267,0.0,1.0,0.5976994,4/2/2024 23:59:45,Y
STL-SD-20240402-1,STL,SD,9:40pm,1,-154,+138,,,,,,,4/2/2024 23:59:45,Y
SF-LAD-20240402-1,SF,LAD,10:10pm,1,-140,+126,,,,,,,4/2/2024 23:59:45,Y
