,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,CIN,4/3/2024,1,663697,Jonathan India,1,N,,outdoor
1,CIN,4/3/2024,1,666181,Will Benson,2,N,,outdoor
2,CIN,4/3/2024,1,687952,Christian Encarnacion-Strand,3,N,,outdoor
3,CIN,4/3/2024,1,600869,Jeimer Candelario,4,N,,outdoor
4,CIN,4/3/2024,1,641584,Jake Fraley,5,N,,outdoor
5,CIN,4/3/2024,1,682829,Elly De La Cruz,6,N,,outdoor
6,CIN,4/3/2024,1,668715,Spencer Steer,7,N,,outdoor
7,CIN,4/3/2024,1,605361,Nick Martini,8,N,,outdoor
8,CIN,4/3/2024,1,663886,Tyler Stephenson,9,N,,outdoor
9,CIN,4/3/2024,1,593423,Frankie Montas,SP,N,,outdoor
10,PHI,4/3/2024,1,656941,Kyle Schwarber,1,N,,outdoor
11,PHI,4/3/2024,1,607208,Trea Turner,2,N,,outdoor
12,PHI,4/3/2024,1,547180,Bryce Harper,3,N,,outdoor
13,PHI,4/3/2024,1,664761,Alec Bohm,4,N,,outdoor
14,PHI,4/3/2024,1,681082,Bryson Stott,5,N,,outdoor
15,PHI,4/3/2024,1,592663,JT Realmuto,6,N,,outdoor
16,PHI,4/3/2024,1,592206,Nick Castellanos,7,N,,outdoor
17,PHI,4/3/2024,1,669016,Brandon Marsh,8,N,,outdoor
18,PHI,4/3/2024,1,679032,Johan Rojas,9,N,,outdoor
19,PHI,4/3/2024,1,554430,Zack Wheeler,SP,N,,outdoor
20,KC,4/3/2024,1,672580,Maikel Garcia,1,N,,outdoor
21,KC,4/3/2024,1,677951,Bobby Witt Jr.,2,N,,outdoor
22,KC,4/3/2024,1,686469,Vinnie Pasquantino,3,N,,outdoor
23,KC,4/3/2024,1,521692,Salvador Perez,4,N,,outdoor
24,KC,4/3/2024,1,669004,MJ Melendez,5,N,,outdoor
25,KC,4/3/2024,1,592669,Hunter Renfroe,6,N,,outdoor
26,KC,4/3/2024,1,624428,Adam Frazier,7,N,,outdoor
27,KC,4/3/2024,1,676369,Nelson Velazquez,8,N,,outdoor
28,KC,4/3/2024,1,664728,Kyle Isbel,9,N,,outdoor
29,KC,4/3/2024,1,666142,Cole Ragans,SP,N,,outdoor
30,BAL,4/3/2024,1,683002,Gunnar Henderson,1,N,,outdoor
31,BAL,4/3/2024,1,668939,Adley Rutschman,2,N,,outdoor
32,BAL,4/3/2024,1,663624,Ryan Mountcastle,3,N,,outdoor
33,BAL,4/3/2024,1,623993,Anthony Santander,4,N,,outdoor
34,BAL,4/3/2024,1,669720,Austin Hays,5,N,,outdoor
35,BAL,4/3/2024,1,676059,Jordan Westburg,6,N,,outdoor
36,BAL,4/3/2024,1,656775,Cedric Mullins,7,N,,outdoor
37,BAL,4/3/2024,1,602104,Ramon Urias,8,N,,outdoor
38,BAL,4/3/2024,1,622761,Jorge Mateo,9,N,,outdoor
39,BAL,4/3/2024,1,669203,Corbin Burnes,SP,N,,outdoor
40,MIN,4/3/2024,1,666397,Edouard Julien,1,N,,retractable
41,MIN,4/3/2024,1,621439,Byron Buxton,2,N,,retractable
42,MIN,4/3/2024,1,621043,Carlos Correa,3,N,,retractable
43,MIN,4/3/2024,1,467793,Carlos Santana,4,N,,retractable
44,MIN,4/3/2024,1,596146,Max Kepler,5,N,,retractable
45,MIN,4/3/2024,1,666135,Alex Kirilloff,6,N,,retractable
46,MIN,4/3/2024,1,680777,Ryan Jeffers,7,N,,retractable
47,MIN,4/3/2024,1,670242,Matt Wallner,8,N,,retractable
48,MIN,4/3/2024,1,650489,Willi Castro,9,N,,retractable
49,MIN,4/3/2024,1,663978,Chris Paddack,SP,N,,retractable
50,MIL,4/3/2024,1,686217,Sal Frelick,1,N,,retractable
51,MIL,4/3/2024,1,661388,William Contreras,2,N,,retractable
52,MIL,4/3/2024,1,592885,Christian Yelich,3,N,,retractable
53,MIL,4/3/2024,1,656555,Rhys Hoskins,4,N,,retractable
54,MIL,4/3/2024,1,642715,Willy Adames,5,N,,retractable
55,MIL,4/3/2024,1,596142,Gary Sanchez,6,N,,retractable
56,MIL,4/3/2024,1,694192,Jackson Chourio,7,N,,retractable
57,MIL,4/3/2024,1,668930,Brice Turang,8,N,,retractable
58,MIL,4/3/2024,1,687401,Joey Ortiz,9,N,,retractable
59,MIL,4/3/2024,1,605452,Joe Ross,SP,N,,retractable
60,LAA,4/3/2024,1,543685,Anthony Rendon,1,N,,retractable
61,LAA,4/3/2024,1,543305,Aaron Hicks,2,N,,retractable
62,LAA,4/3/2024,1,545361,Mike Trout,3,N,,retractable
63,LAA,4/3/2024,1,621493,Taylor Ward,4,N,,retractable
64,LAA,4/3/2024,1,592273,Brandon Drury,5,N,,retractable
65,LAA,4/3/2024,1,694384,Nolan Schanuel,6,N,,retractable
66,LAA,4/3/2024,1,593934,Miguel Sano,7,N,,retractable
67,LAA,4/3/2024,1,681351,Logan O'Hoppe,8,N,,retractable
68,LAA,4/3/2024,1,687263,Zach Neto,9,N,,retractable
69,LAA,4/3/2024,1,663776,Patrick Sandoval,SP,N,,retractable
70,MIA,4/3/2024,1,650333,Luis Arraez,1,N,,retractable
71,MIA,4/3/2024,1,641313,Tim Anderson,2,N,,retractable
72,MIA,4/3/2024,1,669394,Jake Burger,3,N,,retractable
73,MIA,4/3/2024,1,605137,Josh Bell,4,N,,retractable
74,MIA,4/3/2024,1,665862,Jazz Chisholm,5,N,,retractable
75,MIA,4/3/2024,1,650559,Bryan De La Cruz,6,N,,retractable
