,away,home,time,weather
0,MIN 4.1,@MIL 4.4,4:10pm,35°          95%
1,KC 3.8,@BAL 4.7,6:35pm,48°         84%
2,CIN 4.0,@PHI 4.5,6:40pm,46°         95%
3,LAA 3.9,@MIA 4.6,6:40pm,75°
4,TEX 3.8,@TB 4.7,6:50pm,
5,DET 3.5,@NYM 4.0,7:10pm,44°         95%
6,COL 3.7,@CHC 4.8,7:40pm,36°         85%
7,ATL 5.1,@CHW 3.9,7:40pm,36°         84%
8,TOR 3.9,@HOU 4.6,8:10pm,62°
9,BOS 4.3,@OAK 3.7,9:40pm,53°         1%
10,CLE 3.4,@SEA 3.6,9:40pm,49°          91%
11,STL 3.6,@SD 4.4,9:40pm,59°
12,NYY 4.4,@ARI 4.6,9:40pm,63°
13,SF 3.9,@LAD 4.6,10:10pm,57°
