,away,home,time,weather
0,TB 4.3,@NYY 4.7,1:05pm,67°         5%
1,DET 3.2,@MIN 3.8,2:10pm,45°
2,MIL 3.7,@STL 4.3,2:15pm,58°
3,MIA 3.8,@CHCG1 4.2,2:20pm,44°         2%
4,HOU 5.4,@WAS 4.1,4:05pm,65°
5,NYM 4.2,@LAD 5.3,4:05pm,63°
6,BOS 3.7,@PIT 3.8,4:05pm,47°
7,ARI 4.1,@SF 3.9,4:05pm,74°
8,CHW 2.6,@PHI 4.9,6:05pm,52°
9,OAK 3.2,@CLE 4.3,6:10pm,42°         1%
10,LAA 4.7,@CIN 4.8,6:40pm,44°
11,BAL 3.9,@KC 3.6,7:10pm,44°         3%
12,TEX 4.2,@ATL 4.8,7:20pm,62°         60%
13,MIA 3.5,@CHCG2 5.0,7:40pm,41°         2%
14,SEA 5.4,@COL 4.1,8:10pm,36°         19%
15,TOR 3.9,@SD 3.6,8:40pm,60°
