,away,home,time,weather
0,HOU 5.0,@WAS 4.0,1:35pm,57°         4%
1,BOS 3.6,@PIT 4.4,1:35pm,46°
2,CHW 2.8,@PHI 4.7,1:35pm,53°
3,TB 3.8,@NYY 4.2,1:35pm,53°         1%
4,LAA 4.7,@CIN 4.8,1:40pm,51°
5,OAK 3.3,@CLE 4.2,1:40pm,46°
6,BAL 4.4,@KC 4.6,2:10pm,60°
7,DET 3.9,@MIN 4.1,2:10pm,59°
8,MIL 3.3,@STL 4.2,2:15pm,60°
9,MIA 3.9,@CHC 4.1,2:20pm,57°
10,SEA 6.0,@COLG1 4.5,3:10pm,60°         1%
11,ARI 3.8,@SF 4.2,4:05pm,78°
12,NYM 3.5,@LAD 5.5,4:10pm,73°         1%
13,TOR 3.9,@SD 4.1,4:10pm,67°
14,TEX 4.5,@ATL 5.5,7:10pm,50°         4%
15,SEA 5.6,@COLG2 5.4,8:10pm,54°
