,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,KC,4/26/2024,1,672580,Maikel Garcia,1,Y,3B,62 N LR 12-12 35% outdoor
1,KC,4/26/2024,1,677951,Bobby Witt Jr.,2,Y,SS,62 N LR 12-12 35% outdoor
2,KC,4/26/2024,1,686469,Vinnie Pasquantino,3,Y,1B,62 N LR 12-12 35% outdoor
3,KC,4/26/2024,1,521692,Salvador Perez,4,Y,C,62 N LR 12-12 35% outdoor
4,KC,4/26/2024,1,669004,MJ Melendez,5,Y,LF,62 N LR 12-12 35% outdoor
5,KC,4/26/2024,1,686681,Michael Massey,6,Y,2B,62 N LR 12-12 35% outdoor
6,KC,4/26/2024,1,676369,Nelson Velazquez,7,Y,DH,62 N LR 12-12 35% outdoor
7,KC,4/26/2024,1,624428,Adam Frazier,8,Y,RF,62 N LR 12-12 35% outdoor
8,KC,4/26/2024,1,664728,Kyle Isbel,9,Y,CF,62 N LR 12-12 35% outdoor
9,KC,4/26/2024,1,607625,Seth Lugo,SP,Y,,62 N LR 12-12 35% outdoor
10,DET,4/26/2024,1,682985,Riley Greene,1,Y,LF,62 N LR 12-12 35% outdoor
11,DET,4/26/2024,1,592192,Mark Canha,2,Y,RF,62 N LR 12-12 35% outdoor
12,DET,4/26/2024,1,679529,Spencer Torkelson,3,Y,1B,62 N LR 12-12 35% outdoor
13,DET,4/26/2024,1,681481,Kerry Carpenter,4,Y,DH,62 N LR 12-12 35% outdoor
14,DET,4/26/2024,1,663837,Matt Vierling,5,Y,3B,62 N LR 12-12 35% outdoor
15,DET,4/26/2024,1,690993,Colt Keith,6,Y,2B,62 N LR 12-12 35% outdoor
16,DET,4/26/2024,1,595879,Javier Baez,7,Y,SS,62 N LR 12-12 35% outdoor
17,DET,4/26/2024,1,668670,Jake Rogers,8,Y,C,62 N LR 12-12 35% outdoor
18,DET,4/26/2024,1,678009,Parker Meadows,9,Y,CF,62 N LR 12-12 35% outdoor
19,DET,4/26/2024,1,681857,Reese Olson,SP,Y,,62 N LR 12-12 35% outdoor
20,OAK,4/26/2024,1,665923,Esteury Ruiz,1,Y,LF,49 N RL 6-8 0% outdoor
21,OAK,4/26/2024,1,663527,Tyler Nevin,2,Y,1B,49 N RL 6-8 0% outdoor
22,OAK,4/26/2024,1,669127,Shea Langeliers,3,Y,C,49 N RL 6-8 0% outdoor
23,OAK,4/26/2024,1,667670,Brent Rooker,4,Y,DH,49 N RL 6-8 0% outdoor
24,OAK,4/26/2024,1,668709,JJ Bleday,5,Y,CF,49 N RL 6-8 0% outdoor
25,OAK,4/26/2024,1,647351,Abraham Toro,6,Y,3B,49 N RL 6-8 0% outdoor
26,OAK,4/26/2024,1,687231,Darell Hernaiz,7,Y,SS,49 N RL 6-8 0% outdoor
27,OAK,4/26/2024,1,671732,Lawrence Butler,8,Y,RF,49 N RL 6-8 0% outdoor
28,OAK,4/26/2024,1,680474,Max Schuemann,9,Y,2B,49 N RL 6-8 0% outdoor
29,OAK,4/26/2024,1,548389,Ross Stripling,SP,Y,,49 N RL 6-8 0% outdoor
30,BAL,4/26/2024,1,683002,Gunnar Henderson,1,Y,SS,49 N RL 6-8 0% outdoor
31,BAL,4/26/2024,1,668939,Adley Rutschman,2,Y,C,49 N RL 6-8 0% outdoor
32,BAL,4/26/2024,1,656811,Ryan O'Hearn,3,Y,DH,49 N RL 6-8 0% outdoor
33,BAL,4/26/2024,1,623993,Anthony Santander,4,Y,RF,49 N RL 6-8 0% outdoor
34,BAL,4/26/2024,1,663624,Ryan Mountcastle,5,Y,1B,49 N RL 6-8 0% outdoor
35,BAL,4/26/2024,1,656775,Cedric Mullins,6,Y,CF,49 N RL 6-8 0% outdoor
36,BAL,4/26/2024,1,676059,Jordan Westburg,7,Y,2B,49 N RL 6-8 0% outdoor
37,BAL,4/26/2024,1,681297,Colton Cowser,8,Y,LF,49 N RL 6-8 0% outdoor
38,BAL,4/26/2024,1,602104,Ramon Urias,9,Y,3B,49 N RL 6-8 0% outdoor
39,BAL,4/26/2024,1,669203,Corbin Burnes,SP,Y,,49 N RL 6-8 0% outdoor
40,LAD,4/26/2024,1,605141,Mookie Betts,1,Y,SS,75 N RL 10-12 0% outdoor
41,LAD,4/26/2024,1,660271,Shohei (H) Ohtani,2,Y,DH,75 N RL 10-12 0% outdoor
42,LAD,4/26/2024,1,518692,Freddie Freeman,3,Y,1B,75 N RL 10-12 0% outdoor
43,LAD,4/26/2024,1,669257,Will Smith,4,Y,C,75 N RL 10-12 0% outdoor
44,LAD,4/26/2024,1,571970,Max Muncy,5,Y,3B,75 N RL 10-12 0% outdoor
45,LAD,4/26/2024,1,606192,Teoscar Hernandez,6,Y,LF,75 N RL 10-12 0% outdoor
46,LAD,4/26/2024,1,681546,James Outman,7,Y,CF,75 N RL 10-12 0% outdoor
47,LAD,4/26/2024,1,681624,Andy Pages,8,Y,RF,75 N RL 10-12 0% outdoor
48,LAD,4/26/2024,1,666158,Gavin Lux,9,Y,2B,75 N RL 10-12 0% outdoor
49,LAD,4/26/2024,1,694813,Gavin Stone,SP,Y,,75 N RL 10-12 0% outdoor
50,TOR,4/26/2024,1,543807,George Springer,1,Y,RF,75 N RL 10-12 0% outdoor
51,TOR,4/26/2024,1,665489,Vladimir Guerrero,2,Y,1B,75 N RL 10-12 0% outdoor
52,TOR,4/26/2024,1,666182,Bo Bichette,3,Y,SS,75 N RL 10-12 0% outdoor
53,TOR,4/26/2024,1,457759,Justin Turner,4,Y,DH,75 N RL 10-12 0% outdoor
54,TOR,4/26/2024,1,662139,Daulton Varsho,5,Y,CF,75 N RL 10-12 0% outdoor
55,TOR,4/26/2024,1,643376,Danny Jansen,6,Y,C,75 N RL 10-12 0% outdoor
56,TOR,4/26/2024,1,680718,Addison Barger,7,Y,LF,75 N RL 10-12 0% outdoor
57,TOR,4/26/2024,1,643396,Isiah Kiner-Falefa,8,Y,3B,75 N RL 10-12 0% outdoor
58,TOR,4/26/2024,1,624415,Cavan Biggio,9,Y,2B,75 N RL 10-12 0% outdoor
59,TOR,4/26/2024,1,605135,Chris Bassitt,SP,Y,,75 N RL 10-12 0% outdoor
60,WAS,4/26/2024,1,682928,CJ Abrams,1,Y,SS,74 N LR 13-15 2%  retractable
61,WAS,4/26/2024,1,608385,Jesse Winker,2,Y,LF,74 N LR 13-15 2%  retractable
62,WAS,4/26/2024,1,608841,Joey Meneses,3,Y,1B,74 N LR 13-15 2%  retractable
63,WAS,4/26/2024,1,671277,Luis V Garcia,4,Y,2B,74 N LR 13-15 2%  retractable
64,WAS,4/26/2024,1,660688,Keibert Ruiz,5,Y,C,74 N LR 13-15 2%  retractable
65,WAS,4/26/2024,1,592696,Eddie Rosario,6,Y,RF,74 N LR 13-15 2%  retractable
66,WAS,4/26/2024,1,608336,Joey Gallo,7,Y,DH,74 N LR 13-15 2%  retractable
67,WAS,4/26/2024,1,702358,Trey Lipscomb,8,Y,3B,74 N LR 13-15 2%  retractable
68,WAS,4/26/2024,1,696285,Jacob Young,9,Y,CF,74 N LR 13-15 2%  retractable
69,WAS,4/26/2024,1,592866,Trevor Williams,SP,Y,,74 N LR 13-15 2%  retractable
70,MIA,4/26/2024,1,650333,Luis Arraez,1,Y,2B,74 N LR 13-15 2%  retractable
71,MIA,4/26/2024,1,650559,Bryan De La Cruz,2,Y,DH,74 N LR 13-15 2%  retractable
72,MIA,4/26/2024,1,665862,Jazz Chisholm,3,Y,CF,74 N LR 13-15 2%  retractable
