,away,home,time,weather
0,NYY 4.5,@CLEG1 4.0,12:10pm,54°
1,MIN 4.1,@DETG1 4.4,1:10pm,58°         2%
2,KC 3.8,@NYM 4.7,1:40pm,53°         34%
3,CIN 3.9,@CHW 3.6,2:10pm,66°         1%
4,COL 3.9,@TOR 5.1,3:07pm,72°
5,TEX 4.3,@HOU 4.7,4:05pm,77°
6,PIT 3.8,@PHI 4.7,4:05pm,53°
7,MIL 3.9,@BAL 4.6,4:05pm,58°
8,WAS 4.2,@OAK 3.8,4:07pm,47°         54%
9,LAA 5.1,@BOS 5.4,4:10pm,47°         6%
10,SF 3.7,@TB 3.8,4:10pm,
11,ATL 5.0,@MIA 3.5,4:10pm,74°
12,MIN 4.2,@DETG2 4.3,4:10pm,52°         9%
13,NYY 4.1,@CLEG2 4.4,6:10pm,50°         12%
14,STL 5.1,@ARI 5.4,8:10pm,79°
15,SD 3.7,@LAD 5.3,9:10pm,56°         72%
16,CHC 4.0,@SEA 3.5,9:40pm,55°          1%
