Game_ID,Away,Home,Time_EST,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Home_EV,Away_EV,Home_Kelly,Away_Kelly,Bet_Home,Bet_Away,Away_Win_Prob,As Of,Confirmed
NYY-CLE-20240413-2,NYY,CLE,12:10am,2,+114,-129,0.4838544884203745,0.040287150103805125,-0.08374168874624616,0.03503230443809142,-0.10802677848265754,1.0,0.0,0.5161455115796255,4/13/2024 23:59:43,Y
MIN-DET-20240413-2,MIN,DET,1:10pm,2,-111,+103,,,,,,,,,4/13/2024 23:59:43,Y
KC-NYM-20240413-1,KC,NYM,1:40pm,1,-157,+142,0.5799494796297349,-0.05065594735769524,0.016522259296041564,-0.07952983735158155,0.011635393870451805,0.0,1.0,0.42005052037026513,4/13/2024 23:59:43,Y
CIN-CHW-20240413-1,CIN,CHW,2:10pm,1,+110,-122,,,,,,,,,4/13/2024 23:59:43,Y
COL-TOR-20240413-1,COL,TOR,3:07pm,1,-180,+162,,,,,,,,,4/13/2024 23:59:43,Y
PIT-PHI-20240413-1,PIT,PHI,4:05pm,1,-160,+144,0.5566641192535767,-0.0954208062129378,0.08173954902127278,-0.15267328994070048,0.056763575709217216,0.0,1.0,0.44333588074642327,4/13/2024 23:59:43,Y
TEX-HOU-20240413-1,TEX,HOU,4:05pm,1,-129,+118,,,,,,,,,4/13/2024 23:59:43,Y
MIL-BAL-20240413-1,MIL,BAL,4:05pm,1,-141,+125,,,,,,,,,4/13/2024 23:59:43,Y
WAS-OAK-20240413-1,WAS,OAK,4:07pm,1,+117,-127,,,,,,,,,4/13/2024 23:59:43,Y
ATL-MIA-20240413-1,ATL,MIA,4:10pm,1,+185,-215,0.40063223276921966,0.14180186339227607,-0.12185652708048467,0.07664965588771679,-0.2619915332230421,1.0,0.0,0.5993677672307803,4/13/2024 23:59:43,Y
LAA-BOS-20240413-1,LAA,BOS,4:10pm,1,-102,-109,0.4503701986687252,-0.1080903908717405,0.053877325488407735,-0.11025219868917535,0.05872628478236443,0.0,1.0,0.5496298013312748,4/13/2024 23:59:43,Y
SF-TB-20240413-1,SF,TB,4:10pm,1,-107,-103,,,,,,,,,4/13/2024 23:59:43,Y
STL-ARI-20240413-1,STL,ARI,8:10pm,1,-112,+102,,,,,,,,,4/13/2024 23:59:43,Y
SD-LAD-20240413-1,SD,LAD,9:10pm,1,-210,+184,,,,,,,,,4/13/2024 23:59:43,Y
CHC-SEA-20240413-1,CHC,SEA,9:40pm,1,+124,-136,0.4521734380161944,0.01286850115627558,-0.04935978949869019,0.010377823513125465,-0.06712931371821873,1.0,0.0,0.5478265619838056,4/13/2024 23:59:43,Y
