,away,home,time,weather
0,ATL 5.7,@CHW 3.3,2:10pm,43°         90%
1,COL 2.8,@CHC 4.2,2:20pm,42°         90%
2,PIT 4.1,@WAS 4.4,4:05pm,50°         31%
3,KC 3.6,@BAL 4.4,6:35pm,49°         83%
4,CIN 3.7,@PHI 4.3,6:40pm,49°         43%
5,LAA 4.1,@MIA 4.4,6:40pm,72°          1%
6,TEX 4.1,@TB 4.4,6:50pm,
7,DET 3.5,@NYM 4.0,7:10pm,50°         28%
8,TOR 4.1,@HOU 4.9,8:10pm,75°          25%
9,BOS 4.6,@OAK 3.9,9:40pm,59°
10,CLE 3.9,@SEA 4.1,9:40pm,55°          3%
11,STL 3.9,@SD 4.1,9:40pm,58°         1%
12,NYY 4.9,@ARI 4.6,9:40pm,59°          12%
13,SF 3.6,@LAD 4.9,10:10pm,58°
