Game_ID,Game,Time,Lineups Confirmed,Official Pick,Pr(Win),EV,As Of,Kelly Pct.,Units
TOR-BAL-20240513-1,BAL (-175) vs TOR (+156),Game 1 - 6:35pm,Y,TOR +156,45.28%,15.92%,5/13/2024 18:20:02,10.21%,2u
MIA-DET-20240513-1,DET (-161) vs MIA (+145),Game 1 - 6:40pm,Y,MIA +145,48.76%,19.46%,5/13/2024 18:25:38,13.42%,2.5u
PHI-NYM-20240513-1,NYM (-112) vs PHI (+102),Game 1 - 7:10pm,Y,PHI +102,50.29%,1.59%,5/13/2024 18:55:41,1.56%,0.5u
TB-BOS-20240513-1,BOS (-113) vs TB (+102),Game 1 - 7:10pm,Y,TB +102,51.74%,5.03%,5/13/2024 18:55:41,4.89%,1u
CHC-ATL-20240513-1,ATL (-136) vs CHC (+123),Game 1 - 7:20pm,Y,CHC +123,45.32%,1.06%,5/13/2024 19:05:33,0.86%,0u
PIT-MIL-20240513-1,MIL (-134) vs PIT (+122),Game 1 - 7:40pm,Y,No bet,,,5/13/2024 19:25:15,,
WAS-CHW-20240513-1,CHW (+102) vs WAS (-113),Game 1 - 7:40pm,Y,WAS -113,56.03%,5.61%,5/13/2024 19:25:15,6.34%,1.5u
CLE-TEX-20240513-1,TEX (-103) vs CLE (-106),Game 1 - 8:05pm,Y,CLE -106,54.89%,6.18%,5/13/2024 19:50:05,6.62%,1.5u
OAK-HOU-20240513-1,HOU (-174) vs OAK (+154),Game 1 - 8:10pm,Y,OAK +154,41.72%,6.40%,5/13/2024 19:55:28,4.13%,1u
STL-LAA-20240513-1,LAA (+100) vs STL (-113),Game 1 - 9:38pm,Y,STL -113,57.36%,7.67%,5/13/2024 21:23:06,8.75%,1.5u
CIN-ARI-20240513-1,ARI (-158) vs CIN (+139),Game 1 - 9:40pm,Y,No bet,,,5/13/2024 21:25:22,,
COL-SD-20240513-1,SD (-224) vs COL (+191),Game 1 - 9:40pm,Y,COL +191,37.09%,7.93%,5/13/2024 21:25:22,4.15%,1u
KC-SEA-20240513-1,SEA (-148) vs KC (+133),Game 1 - 9:40pm,Y,No bet,,,5/13/2024 21:25:22,,
LAD-SF-20240513-1,SF (+188) vs LAD (-209),Game 1 - 9:45pm,Y,SF +188,42.54%,22.52%,5/13/2024 21:30:00,11.98%,2.5u
