,away,home,time,weather
0,STL 4.4,@DET 4.6,1:10pm,78°         8%
1,TB 4.1,@MIL 4.4,1:10pm,71°          5%
2,MIN 5.3,@CHW 3.7,2:10pm,65°         11%
3,KC 3.7,@TOR 4.3,3:07pm,76°         2%
4,PIT 3.7,@OAK 3.8,3:37pm,71°
5,ATL 4.0,@SEA 3.0,3:40pm,56°          8%
6,PHI 4.7,@LAA 3.3,4:07pm,67°         1%
7,CIN 3.4,@SD 4.1,4:10pm,64°         1%
8,NYY 3.9,@BAL 4.6,6:35pm,70°
9,COL 4.2,@MIA 4.8,6:40pm,77°          16%
10,CHC 3.8,@NYM 3.7,7:10pm,55°         2%
11,SF 3.8,@BOS 4.7,7:10pm,47°         1%
12,WAS 3.8,@TEX 5.2,8:05pm,73°         80%
13,CLE 3.7,@HOU 4.8,8:10pm,74°          56%
14,LAD 4.8,@ARI 4.2,9:40pm,83°
