,away,home,time,weather
0,STL 4.1,@DETG1 4.4,3:40pm,67°         6%
1,NYY 4.7,@BAL 4.3,6:35pm,74°         50%
2,COL 3.8,@MIA 4.2,6:40pm,75°          32%
3,STL 4.1,@DETG2 4.4,6:40pm,59°         2%
4,KC 3.6,@TOR 3.9,7:07pm,74°
5,CHC 3.4,@NYM 3.6,7:10pm,53°         52%
6,SF 4.2,@BOS 3.8,7:10pm,45°         46%
7,MIN 4.8,@CHW 3.7,7:40pm,63°         35%
8,TB 3.5,@MIL 4.5,7:40pm,57°          57%
9,WAS 3.7,@TEX 4.3,8:05pm,74°         14%
10,CLE 4.0,@HOU 5.0,8:10pm,73°          1%
11,PHI 4.4,@LAA 3.6,9:38pm,61°
12,LAD 4.7,@ARI 4.8,9:40pm,81°
13,PIT 3.9,@OAK 3.6,9:40pm,57°
14,CIN 3.3,@SD 4.2,9:40pm,60°
15,ATL 3.6,@SEA 3.4,9:40pm,47°          5%
