,away,home,time,weather
0,KC 3.1,@BAL 3.9,1:05pm,47°         56%
1,TEX 4.1,@TB 4.4,1:10pm,
2,LAA 4.1,@MIA 4.4,1:10pm,85°          12%
3,MIN 4.1,@MIL 4.4,1:10pm,36°          35%
4,BOS 4.5,@OAK 3.5,3:37pm,59°         2%
5,NYY 4.4,@ARI 4.1,3:40pm,80°
6,CIN 3.3,@PHI 4.2,4:05pm,45°         39%
7,CLE 3.4,@SEA 4.1,4:10pm,49°          19%
8,STL 3.8,@SD 4.7,4:10pm,64°
9,PIT 4.6,@WAS 3.9,6:45pm,48°         53%
10,COL 2.9,@CHC 4.1,7:40pm,37°         49%
11,TOR 4.1,@HOU 4.9,8:10pm,65°
12,SF 3.4,@LAD 5.1,10:10pm,54°         4%
