,away,home,time,weather
0,MIL 3.7,@CHC 3.8,2:20pm,58°
1,BAL 4.4,@CIN 4.6,6:10pm,65°         46%
2,COL 3.4,@PIT 4.6,6:40pm,66°         100%
3,SF 3.1,@PHI 3.9,6:40pm,52°         4%
4,TOR 5.0,@WAS 3.5,6:45pm,59°         61%
5,NYM 3.7,@TB 4.3,6:50pm,
6,DET 3.3,@NYY 4.2,7:05pm,52°
7,LAA 3.2,@CLE 4.3,7:10pm,61°         32%
8,TEX 4.1,@KC 4.4,7:40pm,65°         40%
9,SEA 3.9,@HOU 4.1,8:10pm,73°          19%
10,BOS 3.6,@MIN 3.9,8:10pm,54°         81%
11,CHW 2.8,@STL 4.7,8:15pm,68°         3%
12,SD 4.6,@ARI 4.4,9:40pm,78°
13,MIA 3.4,@OAK 4.1,9:40pm,56°         21%
14,ATL 4.4,@LAD 4.6,10:10pm,58°
