,away,home,time,weather
0,DET 3.3,@NYY 4.2,1:05pm,58°         23%
1,BOS 3.3,@MIN 4.2,2:10pm,58°         1%
2,CHW 3.7,@STL 4.8,2:15pm,71°         52%
3,MIL 4.0,@CHC 4.5,2:20pm,72°         66%
4,COL 2.8,@PIT 4.2,4:05pm,60°         95%
5,TOR 4.2,@WAS 3.3,4:05pm,55°         61%
6,MIA 3.3,@OAK 3.7,4:07pm,52°         56%
7,SF 3.1,@PHI 3.9,6:05pm,51°         46%
8,LAA 3.8,@CLE 4.2,6:10pm,64°         79%
9,BAL 4.4,@CIN 4.6,6:40pm,70°         24%
10,TEX 4.1,@KC 4.4,7:10pm,61°
11,SEA 3.5,@HOU 4.0,7:15pm,78°          17%
12,NYM 3.7,@TB 3.8,7:15pm,
13,SD 4.1,@ARI 4.4,8:10pm,89°
14,ATL 3.4,@LAD 4.6,9:10pm,60°         51%
